"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,-3981329365.0,-4036194678.0,-2578069954.0,-10745566803.0,322784281.0,2323762680.0,-5571468960.0,9704236082.0,-1852692812.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업에서 창출된 현금흐름,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업에서 창출된 현금흐름,-2884792757.0,-3973436200.0,-2219399584.0,-10172889724.0,1229303154.0,4967476306.0,-2838130902.0,14489252813.0,-188001682.0
ifrs_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취,99365306.0,68375541.0,85567603.0,38028228.0,34125589.0,67638951.0,74841784.0,431253031.0,2186076440.0
ifrs_InterestPaidClassifiedAsOperatingActivities,이자지급,Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급,1185352466.0,202602739.0,511753426.0,,,,,,
ifrs_DividendsReceivedClassifiedAsOperatingActivities,배당금수취,Dividends received,현금흐름표 [abstract],영업활동현금흐름,배당금수취,,7636800.0,7500000.0,7500000.0,7500000.0,15000000.0,15000000.0,15000000.0,
ifrs_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 환급(납부),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세의 환급(납부),10549448.0,-63831920.0,-60015453.0,-130557363.0,5194340.0,1063430.0,67323750.0,-8016668.0,30945800.0
ifrs_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-20667134764.0,-8771348149.0,-2383451763.0,-402515188.0,15999897775.0,-2825270323.0,2723701005.0,14956671462.0,2088268474.0
dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 처분,Proceeds from sales of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 처분,,1000000.0,1200000000.0,,,,,,
entity00112819_udf_CF_201933071357351_CashFlowsFromUsedInInvestingActivities,기타채권의 대여,"Adjustments for decrease (increase) and other receivables
",현금흐름표 [abstract],투자활동현금흐름,기타채권의 대여,-25368590713.0,,,,,,,,
