Statement of cash flows(Unit: KWR),20160101-20161231,20150101-20151231
label_ko,"('연결재무제표',)","('연결재무제표',)"
Ⅰ.영업활동으로인한현금흐름,-1252649737.0,798467500.0
1.당기순이익(손실),974897098.0,1341577488.0
2.현금의유출이없는비용등의가산,2622328542.0,2615088426.0
감가상각비,1674451681.0,1579467895.0
퇴직급여,166605219.0,471821957.0
매출채권처분손실,429911393.0,377816305.0
대손상각비,100649773.0,-16495617.0
지분법손실,,6530701.0
무형자산상각비,17247793.0,18777348.0
재고자산평가손실,9113644.0,
사채할인발행차금상각,76358697.0,16002070.0
유형자산처분손실,,45382363.0
외환차손,97120531.0,
외화환산손실,50869811.0,115785404.0
3.현금의유입이없는수익등의차감,-806538194.0,-1228782990.0
유형자산처분이익,,1380008.0
자산수증이익,,765403855.0
외환차익,135336334.0,
지분법이익,526884983.0,116685275.0
외화환산이익,144316877.0,345313852.0
4.영업활동으로인한자산부채의변동,-4043337183.0,-1929415424.0
매출채권의감소(증가),-2186259881.0,-1877674848.0
미수금의감소(증가),-57406333.0,-22760329.0
선급금의감소(증가),-917569915.0,-374734169.0
선급비용의감소(증가),5954203.0,-8480720.0
미수수익의감소(증가),7040375.0,-15515750.0
재고자산의감소(증가),-1707330233.0,-605587832.0
매입채무의증가(감소),309475451.0,945617469.0
미지급금의증가(감소),-7230570.0,-153344580.0
미지급비용의증가(감소),932286547.0,354711749.0
예수금의증가(감소),5989240.0,8934590.0
선수금의증가(감소),-177380971.0,68395814.0
장기미지급금의증가(감소),-5439115.0,30080969.0
이연법인세자산의감소(증가),290617101.0,-86806698.0
이연법인세부채의증가(감소),-352420080.0,-6537506.0
당기법인세부채의증가(감소),-25232512.0,-32166005.0
퇴직연금운용자산의감소(증가),18587625.0,25441276.0
퇴직금의지급,-177018115.0,-178988854.0
Ⅱ.투자활동으로인한현금흐름,-1064961152.0,-3612408217.0
1.투자활동으로인한현금유입액,845011393.0,471012113.0
지배력획득으로인한보통예금증가,58966469.0,
단기금융상품의감소,224000000.0,
장기금융상품의감소,54681280.0,126730923.0
단기대여금의감소,290462500.0,137400000.0
토지의처분,,115850034.0
건물의처분,,83974966.0
비품의처분,2129400.0,
차량운반구의처분,,5000000.0
기타보증금의감소,214771744.0,2056190.0
2.투자활동으로인한현금유출액,-1909972545.0,-4083420330.0
장기금융상품의증가,,379457904.0
건설중인자산의취득,287137076.0,650000000.0
토지의취득,87824140.0,111831431.0
건물의취득,52832141.0,1093068569.0
구축물의취득,60227000.0,
기계장치의취득,996946335.0,789340000.0
차량운반구의취득,43514860.0,88974199.0
공구와기구의취득,319922743.0,898585700.0
비품의취득,,68757364.0
산업재산권의취득,8928740.0,3153800.0
소프트웨어의취득,,251363.0
임차보증금의증가,52639510.0,
Ⅲ.재무활동으로인한현금흐름,2548211598.0,1927412611.0
1.재무활동으로인한현금유입액,5162614162.0,18743821255.0
단기차입금의차입,,12732521255.0
장기차입금의차입,,860000000.0
사채발행,4844400002.0,3100000000.0
임대보증금의증가,318214160.0,70000000.0
유상증자,,1981300000.0
2.재무활동으로인한현금유출액,-2614402564.0,-16816408644.0
단기차입금의상환,1364402566.0,14179516523.0
유동성장기부채의상환,,549600000.0
사채상환,1249999998.0,2000000000.0
사채발행비용,,87292121.0
Ⅳ.현금및현금성자산의순증가(감소)(Ⅰ+Ⅱ+Ⅲ),230600709.0,-886528106.0
Ⅴ.기초의현금,198136499.0,1084664605.0
Ⅵ.기말의현금,428737208.0,198136499.0
