"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20110101-20111231,20100101-20101231,20090101-20091231,20080101-20081231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,,-6302489575.0,-17088802422.0,,
entity00122436_udf_CF_201232621353464_CashFlowsFromUsedInOperatingActivities,영업에서 창출된 현금흐름,Cash flows from operating activities,현금흐름표 [abstract],영업활동현금흐름,영업에서 창출된 현금흐름,,-2085877863.0,-13652198554.0,,
entity00122436_udf_CF_201232621366687_udf_CF_201232621353464_CashFlowsFromUsedInOperatingActivities,당기순이익(손실),Profit (loss),현금흐름표 [abstract],영업활동현금흐름,영업에서 창출된 현금흐름,당기순이익(손실),627781200.0,-5245282081.0,,
entity00122436_udf_CF_201232621363831_udf_CF_201232621353464_CashFlowsFromUsedInOperatingActivities,당기순이익조정을 위한 가감,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,영업에서 창출된 현금흐름,당기순이익조정을 위한 가감,6916998589.0,8115189785.0,,
entity00122436_udf_CF_201232621378897_udf_CF_201232621353464_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 자산부채의 변동,Cahnges in assets and liabilities resulting from operations,현금흐름표 [abstract],영업활동현금흐름,영업에서 창출된 현금흐름,영업활동으로 인한 자산부채의 변동,-9630657652.0,-16522106258.0,-11085633089.0,-5106175775.0
ifrs_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취,,136566086.0,56325758.0,,
ifrs_InterestPaidClassifiedAsOperatingActivities,이자지급,Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급,,4385024823.0,3579683448.0,,
ifrs_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),,-31847025.0,-86753822.0,,
ifrs_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,,-5264333598.0,-9718925247.0,,
dart_PurchaseOfOtherCurrentFinancialAssets,기타유동금융자산의 취득,Purchase of other current financial assets,현금흐름표 [abstract],투자활동현금흐름,기타유동금융자산의 취득,,2096479334.0,840000000.0,,
dart_PurchaseOfOtherNonCurrentFinancialAssets,기타비유동금융자산의 취득,Purchase of other non-current financial assets,현금흐름표 [abstract],투자활동현금흐름,기타비유동금융자산의 취득,,186000000.0,717760000.0,570000000.0,430000000.0
dart_IncreaseInGuaranteeDeposits,보증금의 증가,Increase in guarantee deposits                                                                       ,현금흐름표 [abstract],투자활동현금흐름,보증금의 증가,,-379998.0,-400002.0,66588961.0,31693554.0
ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,,3197016478.0,8252482540.0,,
ifrs_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,,214782216.0,90917291.0,,
ifrs_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,,14132399788.0,13720775068.0,,
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 증가,,87965563748.0,109007606864.0,73577111590.0,69502576055.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,,90755550198.0,95288998560.0,70055701754.0,63596838258.0
ifrs_ProceedsFromIssuingShares,유상증자,Proceeds from issuing shares,현금흐름표 [abstract],재무활동현금흐름,유상증자,,14922386238.0,0.0,21406636180.0,
entity00122436_udf_CF_201232621483727_CashFlowsFromUsedInFinancingActivities,신주인수권 행사,"Excercise of stock warrants

",현금흐름표 [abstract],재무활동현금흐름,신주인수권 행사,,0.0,2166764.0,,239290966.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 증가,,2000000000.0,0.0,,
ifrs_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,환율변동효과 반영전 현금및현금성자산의 순증가(감소) ,Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,현금흐름표 [abstract],환율변동효과 반영전 현금및현금성자산의 순증가(감소) ,,,2565576615.0,-13086952601.0,,
entity00122436_udf_CF_2012327112853994_StatementOfCashFlowsAbstract,연결실체의 변동으로 인한 현금의 증가(감소),Proceeds from sales of investments in subsidiaries,현금흐름표 [abstract],연결실체의 변동으로 인한 현금의 증가(감소),,,0.0,573779011.0,,-2521874238.0
ifrs_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,,-1471944115.0,0.0,,
ifrs_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,,1093632500.0,-12513173590.0,11925390203.0,-4209446613.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,,1857100654.0,14370274244.0,2444884041.0,6654330654.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,,2950733154.0,1857100654.0,14370274244.0,2444884041.0
