Statement of cash flows(Unit: KWR),20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231
label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
Ⅰ.영업활동으로인한현금흐름,1166169071.0,-14335843925.0,-3211062288.0,-5737366917.0
1.당기순손실,-2548976282.0,,,
2.현금의유출이없는비용등의가산,4212131696.0,25594891317.0,6906251006.0,7105360037.0
가.외화환산손실,1174819568.0,106156582.0,351864050.0,190216383.0
나.대손상각비,951765167.0,805137751.0,,1343483388.0
다.기타의대손상각비,623201059.0,9696732503.0,791899497.0,670610891.0
라.재고자산평가손실,19569497.0,6706406487.0,1063288586.0,107159148.0
마.지분법손실,,1183926365.0,28864118.0,
바.유형자산처분손실,39886050.0,442772858.0,190001.0,1269034.0
사.감가상각비,833335244.0,1219598619.0,1560572079.0,1268211026.0
아.무형자산상각비,62099717.0,1560904180.0,1778172627.0,2034585248.0
자.무형자산손상차손,452600459.0,,,
차.퇴직급여,54151051.0,385381728.0,895089106.0,514197970.0
카.이자비용,703884.0,,,
3.현금의유입이없는수익등의차감,-1129639614.0,-324161994.0,-2256805897.0,-334740634.0
가.외화환산이익,360685132.0,59044806.0,506869461.0,-189441781.0
나.대손충당금환입,470211553.0,,432223141.0,
다.지분법이익,106208664.0,,34987736.0,-145298853.0
라.기타현금의유출이없는수익,192534265.0,,,
4.영업활동으로인한자산부채의변동,632653271.0,,,-258499174.0
가.매출채권의증가,-73506197.0,,,
나.미수금의감소,752621357.0,162493180.0,622071499.0,-451514484.0
다.미수수익의증가,-3363564.0,,,
라.선급금의증가,-942753758.0,-163430353.0,-1796118046.0,-333519155.0
마.선급비용의감소,1905238.0,305725522.0,-33705834.0,237976960.0
바.재고자산의증가,-6228477.0,,,
사.퇴직보험예치금의증가,-36968035.0,,,
아.매입채무의증가,1394343826.0,,,
자.미지급금의감소,-28716059.0,,,
차.미지급비용의감소,-69322516.0,,,
카.선수금의감소,-374785758.0,-244909670.0,-254682536.0,
타.예수금의증가,3683160.0,,,15225552.0
파.미지급법인세의감소,-5994350.0,,,
하.부가세예수금의증가,191696197.0,,,
거.예수보증금의감소,-15000000.0,,,
너.퇴직금의지급,-108905118.0,-783137408.0,-1868700760.0,-642523677.0
더.이연법인세부채의감소,-6763982.0,,,
러.이연법인세자산의증가,-39288693.0,,,
Ⅱ.투자활동으로인한현금흐름,-950218445.0,-667378262.0,-3766349302.0,-2463383253.0
1.투자활동으로인한현금유입액,1791128069.0,20117791718.0,1133704818.0,
가.단기금융상품의감소,349000000.0,3172786202.0,,
나.장기금융상품의감소,114645213.0,15475655800.0,,
다.장기대여금의감소,1151800000.0,,,
라.기계장치의처분,63256226.0,,,
마.차량운반구의처분,1743774.0,,181818.0,
바.보증금의감소,10190200.0,753820762.0,158800000.0,115883000.0
사.합병으로인한현금증가,100492656.0,,,
2.투자활동으로인한현금유출액,-2741346514.0,-20785169980.0,-4900054120.0,
가.단기금융상품의증가,304154427.0,1983356314.0,736477241.0,-145459438.0
나.단기대여금의증가,393868812.0,1656718526.0,314191694.0,-825919850.0
다.장기대여금의증가,1619227583.0,,,-100000000.0
라.기계장치의취득,223964885.0,19100000.0,623925139.0,-58500350.0
마.차량운반구의취득,12498806.0,,,
바.공구와기구의취득,34552950.0,10631817.0,234157332.0,-177915000.0
사.비품의취득,22963851.0,53390910.0,118399834.0,-232348613.0
아.개발비의증가,31415200.0,687097735.0,904158697.0,-826460759.0
자.보증금의증가,98700000.0,405220378.0,354836218.0,-151084681.0
Ⅲ.재무활동으로인한현금흐름,-9833032.0,12122380687.0,9023682793.0,9240924852.0
1.재무활동으로인한현금유입액,15633462009.0,16014929586.0,16034195870.0,
가.단기차입금의증가,15633462009.0,,,
2.재무활동으로인한현금유출액,-15643295041.0,-3892548899.0,-7010513077.0,
가.단기차입금의상환,15358295041.0,3511195975.0,6973090637.0,-19660082451.0
나.유동성장기부채의상환,285000000.0,,,
Ⅳ.연결실체의변동으로인한현금의증가,14901871.0,,,
Ⅴ.현금의증가(Ⅰ+Ⅱ+Ⅲ+Ⅳ),221019465.0,-2880841500.0,2046271203.0,1040174682.0
Ⅵ.기초의현금,24112892.0,3141833274.0,1095562071.0,55387389.0
Ⅶ.기말의현금,245132357.0,260991774.0,3141833274.0,1095562071.0
