"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20110101-20111231,20100101-20101231,20090101-20091231,20080101-20081231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,-4648151234.0,30598081033.0,,
ifrs_OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,영업에서 창출된 현금,Other inflows (outflows) of cash,현금흐름표 [abstract],영업활동현금흐름,영업에서 창출된 현금,-907377854.0,34390052150.0,,
ifrs_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),3740773380.0,3791971117.0,,
ifrs_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-13817406946.0,-8380035860.0,,
ifrs_InterestReceivedClassifiedAsInvestingActivities,이자수취,Interest received,현금흐름표 [abstract],투자활동현금흐름,이자수취,951573743.0,1827505014.0,,
ifrs_DividendsReceivedClassifiedAsInvestingActivities,배당금수취,Dividends received,현금흐름표 [abstract],투자활동현금흐름,배당금수취,213064300.0,61640000.0,,
dart_ProceedsFromSalesOfCurrentFinancialAssetsHeldToMaturity,유동만기보유금융자산의 처분,Proceeds from sales of current financial assets held to maturity ,현금흐름표 [abstract],투자활동현금흐름,유동만기보유금융자산의 처분,1518640376.0,5666361757.0,,
dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,매도가능금융자산의 처분,Proceeds from sales of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,매도가능금융자산의 처분,3061902326.0,81943554.0,,
dart_ProceedsFromSalesOfShortTermLoansAndReceivables,단기대여금의 감소,Reduction of short-term loans,현금흐름표 [abstract],투자활동현금흐름,단기대여금의 감소,2571806766.0,10542564677.0,24137850501.0,110169823322.0
dart_DecreaseInGuaranteeDeposits,보증금의 감소,Decrease in guarantee deposits                                                                       ,현금흐름표 [abstract],투자활동현금흐름,보증금의 감소,1169506438.0,0.0,7269453953.0,15518741342.0
dart_ProceedsFromSalesOfInvestmentProperty,투자부동산의 처분,Proceeds from sales of investment property,현금흐름표 [abstract],투자활동현금흐름,투자부동산의 처분,2790084642.0,13785127211.0,30648417762.0,12059372602.0
ifrs_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,3403667990.0,1254263394.0,,
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 처분,Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 처분,3207201390.0,923733610.0,,
dart_ProceedsFromSalesOfLongTermLoansAndReceivables,장기대여금의 감소,Reduction of Long-term loans,현금흐름표 [abstract],투자활동현금흐름,장기대여금의 감소,3264930476.0,0.0,,6500000000.0
entity00155498_udf_CF_2012316163920939_CashFlowsFromUsedInInvestingActivities,보증금의 회수,Return in guarantee deposits ,현금흐름표 [abstract],투자활동현금흐름,보증금의 회수,0.0,1324644215.0,,
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 증가,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 증가,3100000000.0,373945000.0,2058646000.0,52740000000.0
ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,813263643.0,2448743203.0,,
dart_PurchaseOfInvestmentProperty,투자부동산의 취득,Purchase of investment property,현금흐름표 [abstract],투자활동현금흐름,투자부동산의 취득,440203037.0,1003556931.0,476181121.0,
dart_PurchaseOfShortTermLoansAndReceivables,단기대여금의 증가,Increase in short-term loans,현금흐름표 [abstract],투자활동현금흐름,단기대여금의 증가,25821323347.0,29403414153.0,37988799971.0,105958890968.0
dart_PurchaseOfLongTermLoansAndReceivables,장기대여금의 증가,Increase in long-term loans,현금흐름표 [abstract],투자활동현금흐름,장기대여금의 증가,5331130366.0,9730197050.0,13090286702.0,105943726101.0
ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,0.0,236840765.0,,
dart_PurchaseOfAvailableForSaleFinancialAssets,매도가능금융자산의 취득,Purchase of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,매도가능금융자산의 취득,4000000.0,112781075.0,,
dart_PurchaseOfFinancialAssetsHeldToMaturity,만기보유금융자산의 취득,Purchase of financial assets held to maturity ,현금흐름표 [abstract],투자활동현금흐름,만기보유금융자산의 취득,459865000.0,404825000.0,,
dart_IncreaseInGuaranteeDeposits,보증금의 증가,Increase in guarantee deposits                                                                       ,현금흐름표 [abstract],투자활동현금흐름,보증금의 증가,0.0,133516115.0,4605197830.0,18894170127.0
ifrs_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,73333733606.0,-71362564029.0,,
dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 차입,126532601871.0,13630120685.0,249147314168.0,2866054203604.0
entity00155498_udf_CF_201231616568811_CashFlowsFromUsedInFinancingActivities,사채의 증가,increase in corporate bond,현금흐름표 [abstract],재무활동현금흐름,사채의 증가,0.0,12956157.0,70000000000.0,
dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 증가,64318000000.0,760000000.0,2500000000.0,10000000000.0
entity00155498_udf_CF_201231617858977_CashFlowsFromUsedInFinancingActivities,파생상품의 정산,Settlement of financial assets at fair value through profit or loss,현금흐름표 [abstract],재무활동현금흐름,파생상품의 정산,412191779.0,509589042.0,1231846800.0,2325576600.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,23502248624.0,19345091115.0,155599224870.0,2683817081550.0
dart_RepaymentsOfLongTermBorrowings,유동성장기부채의 상환,Repayments of Current Portion of Long-term Liabilities,현금흐름표 [abstract],재무활동현금흐름,유동성장기부채의 상환,53327000000.0,760000000.0,30000000.0,17975021200.0
entity00155498_udf_CF_201231617945634_CashFlowsFromUsedInFinancingActivities,유동성사채의 상환,Repayment of bonds liquidity,현금흐름표 [abstract],재무활동현금흐름,유동성사채의 상환,-2510531800.0,-28282693719.0,6643372501.0,60000000000.0
ifrs_InterestPaidClassifiedAsFinancingActivities,이자지급,Interest paid,현금흐름표 [abstract],재무활동현금흐름,이자지급,38589279620.0,37887445079.0,,
entity00155498_udf_CF_2012319104631803_StatementOfCashFlowsAbstract,현금및현금성자산의순증감,NEWAccount for Statement of cash flows (1),현금흐름표 [abstract],현금및현금성자산의순증감,,54868175426.0,-49144518856.0,,
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,39966982146.0,89130676370.0,19733252930.0,67537063066.0
ifrs_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화표시 현금및현금성자산에 대한 환율변동효과,"Foreign currency cash and cash equivalents Effect of exchange rate changes
",현금흐름표 [abstract],외화표시 현금및현금성자산에 대한 환율변동효과,,11369354.0,-19175368.0,,
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,94846526926.0,39966982146.0,89130676370.0,19733252930.0
