company,date
데코앤이,20191120
신텍,20180709
금오하이텍,20170607
에이치앤아이,20160714
티에스엠텍,20150520
우양에이치씨,20150317
SSCP,20120929
배명금속,20120903
금강제강,20120814
풍림산업,20120518
미주제강,20120417
제이콤,20110416
하이드로젠파워,20101106
인네트,20100914
신세계톰보이,20100730
케이씨오에너지,20100520
에스피코프,20100420
쌈지,20100417
GK파워,20100403
카라반케이디이,20090918
유리이에스,20090415
아이비진,20081220
우영,20080313
VK,20060722
알루코,20051013
케이티씨텔레콤,20050813
아이텍스필,20050602
현주컴퓨터,20050511
넥스텔,20050409
지에스엔텍,20050124
현대멀티캡,20050119
중앙제지,20050106
영창악기제조,20041026
테크메이트,20041016
텔슨전자,20040810
금강화섬,20040722
동아정기,20040716
호성,20040612
대호,20040522
대흥멀티통신,20040511
모닷텔,20040429
KNC,20040124
화림모드,20031017
서통,20031002
다산씨앤아이,20030619
계몽사,20030516
이론테크,20030430
코리아링크,20030416
시스컴,20030329
화인썬트로닉스,20030307
정산애강,20021205
소프트윈,20021128
심스밸리,20021116
코닉스,20021114
유니씨앤티,20021018
아이씨켐,20021011
디지텔,20020708
삼한콘트롤스,20020418
피어리스,20011205
정일이엔씨,20000607
삼산,20000607
교하산업,20000607
아진산업,20000607
주화산업,20000607
라인건설,20000607
대륭산업,20000607
대한종금,19991120
한국종합철관,19990624
한국대아진공,19990412
영성제강,19990311
(유)동해건업,20190403
(유)부강산업개발,20181017
(유)세일디앤아이,20190110
(유)장수,20181107
(의)서구의료재단여수성심병원,20191204
(의)성실의료재단창녕요양병원,20190611
(의)원의료재단동김해병원,20190712
(주)ENS,20181114
(주)JBM,20190724
(주)거성합판목재,20181022
(주)거연,20190705
(주)거진상역,20181121
(주)건형설비,20181011
(주)경상엔지니어링,20180912
(주)경안전선,20190705
(주)경은,20191002
(주)경천에스앤디,20190611
(주)계진푸드,20190730
(주)고려이알피,20190211
(주)고려전기상사,20190429
(주)관동물산,20181105
(주)광명인치코리아,20181204
(주)광진엔지니어링,20190211
(주)광진종합물류,20181210
(주)그린라이트,20191015
(주)그린비,20190503
(주)그린위드,20190207
(주)그린플러스,20181231
(주)글로벌리더스,20181016
(주)금강골재,20191002
(주)금빛식자재마트,20181108
(주)금상종합주류,20180921
(주)길상유통,20190502
(주)나무와사람들,20190703
(주)나우물산,20190925
(주)나우상사,20190612
(주)남윤산업,20190905
(주)네오센스,20181012
(주)뉴골드마인,20191119
(주)뉴한일산업,20190509
(주)님프만,20190604
(주)다스코리아,20190726
(주)다영산업개발,20190424
(주)대건내츄럴,20181128
(주)대건에프앤비,20181228
(주)대경공영,20181024
(주)대도건영,20181120
(주)대림종합건설,20181113
(주)대산씨에스에이,20181102
(주)대상이엔지,20190610
(주)대성,20190709
(주)대양인터네셔널,20190821
(주)대정설비,20190103
(주)대진인더스트리,20180912
(주)대한동력케이블,20190305
(주)대한티앤피,20190110
(주)대현산업,20191002
(주)대화연료펌프,20190207
(주)더에스앤에이치,20190729
(주)더좋은푸드,20190114
(주)더플랜,20190306
(주)덕양상사,20191119
(주)덕유,20180904
(주)데코앤이,20191107
(주)동경,20181024
(주)동광오알티,20190417
(주)동보철강,20181207
(주)동성,20180904
(주)동양프라텍,20191011
(주)동영씨푸트,20190130
(주)동오성,20181107
(주)동오프랜지,20190828
(주)동일월드,20191030
(주)동진약품,20181224
(주)동진주공,20181205
(주)두리성,20190304
(주)두산해운,20190619
(주)디에스팩,20190502
(주)디에이치메탈,20191107
(주)디엠케이,20190104
(주)디자인인터,20191212
(주)뜨레비디엔씨,20190423
(주)라이브론,20181102
(주)라이트제림,20191002
(주)로얄마트,20190129
(주)마스타인터내셔날,20181102
(주)마스타텍,20191204
(주)마이웨이,20181031
(주)마하,20191008
(주)매일통상,20181001
(주)명진농축산,20190322
(주)명진종합건설,20190103
(주)모터월드,20190417
(주)모티브,20190802
(주)미가,20180905
(주)미건의료기,20190325
(주)미건이엔씨,20190712
(주)미드림,20190417
(주)미르산업개발,20191113
(주)미르전기,20190702
(주)바쁜손유통,20181204
(주)바우주택건설,20190322
(주)반도케미칼,20180904
(주)범진종합건설,20180905
(주)베가,20181210
(주)베델,20190710
(주)보성해우소,20190403
(주)부광종합건설,20191216
(주)부흥산업,20191218
(주)비젼케이엔에스,20190516
(주)빠라베에사,20180904
(주)삼부산업,20190627
(주)삼성에이치앤비,20181024
(주)삼우네오텍,20190308
(주)삼원이피에스,20190704
(주)삼협정밀,20190802
(주)상일실업,20191114
(주)상지이엔지,20190717
(주)새한폴리머,20190107
(주)서린주택,20190523
(주)서신엔지니어링,20181105
(주)서원상사,20190802
(주)서일엠이씨,20190211
(주)서평종합건설,20190321
(주)서해에스에프씨,20180904
(주)석영,20181107
(주)성도,20181204
(주)성도이앤씨,20190531
(주)성우씨앤에프,20181031
(주)성원물산,20180831
(주)성원철강,20190910
(주)성일하이테크,20181102
(주)성지아트,20181025
(주)성진메탈테크,20181228
(주)성진화학,20190305
(주)성창기업,20181122
(주)성토건설,20190612
(주)세광정밀,20190109
(주)세교하이텍,20190403
(주)세림에코,20190613
(주)세영통상,20190626
(주)세원금속,20181205
(주)세일섬유,20191015
(주)세진씨엔비,20190228
(주)세코,20181002
(주)세한건설,20180904
(주)소년한국일보,20190103
(주)솔목,20190607
