company,자본총계,자산총계,매입채무 및 기타유동채무,매출채권 및 기타유동채권,부채총계,유동부채,유동자산,재고자산,전기자산총계,전기자본총계,매출원가,매출총이익,법인세비용차감전순이익(손실),당기순이익(손실),판매비와관리비
SGA,38180144932.0,100397309576.0,18995167756.0,19748688241.0,62217164644.0,56031358178.0,40092142943.0,3037803693.0,132956451118.0,68827310603.0,65219478398.0,16251524737.0,-29082118459.0,-30354499317.0,27246144342.0
SGA,68827310603.0,132956451118.0,20527160409.0,34032856006.0,64129140515.0,40498391054.0,72299333082.0,8000743477.0,147318939743.0,78939336234.0,72634426046.0,16251573373.0,-15167792417.0,-14341575045.0,24282861320.0
메디톡스,262680764325.0,421529503965.0,24996604550.0,61270483065.0,158848739640.0,136347752994.0,120029581705.0,29332108117.0,395014965909.0,257241639872.0,69529926647.0,136370349140.0,25149968451.0,25563082881.0,110681594676.0
메디톡스,257241639872.0,395014965909.0,9653147639.0,67356314464.0,137773326037.0,110815703919.0,116431673406.0,21510965453.0,380945209080.0,196525985189.0,54238050281.0,151206884234.0,85099485013.0,69765654196.0,65721441855.0
명성티엔에스,38250153597.0,66256203865.0,3206398527.0,11354382837.0,28006050268.0,25743128061.0,38207439387.0,15489115612.0,65625538347.0,37740962674.0,28095857622.0,6912545346.0,726559696.0,504333074.0,6014386723.0
명성티엔에스,37740962674.0,65625538347.0,5279741388.0,3721119311.0,27884575673.0,15691479461.0,36633281531.0,23794825044.0,45090396455.0,13955959332.0,32550035346.0,7136561321.0,2109496856.0,1739631468.0,4647699654.0
미코,168787395188.0,404978177732.0,20188612912.0,34385502727.0,236190782544.0,107410052061.0,168047918728.0,18729353757.0,332053845778.0,148380626414.0,126828366594.0,109341775307.0,28735772078.0,21975621284.0,71103349830.0
미코,148380626414.0,332053845778.0,15895391630.0,31402770080.0,183673219364.0,69065993508.0,158247633185.0,16589550965.0,202082377532.0,116850457302.0,121672792639.0,105748790846.0,39440097334.0,32320309579.0,60386074836.0
슈펙스비앤피,55848971815.0,152329511059.0,42035488317.0,9570505201.0,96480539244.0,44963784200.0,34099315363.0,3399865753.0,171434545177.0,54113473945.0,23476670189.0,17634552142.0,-24818511632.0,-24929147432.0,14232811773.0
슈펙스비앤피,54113473945.0,171434545177.0,52882935450.0,10694623392.0,117321071232.0,54635401932.0,49115430053.0,8974593613.0,131715726881.0,47108071309.0,58981663220.0,11707469433.0,-17434471118.0,-17434471118.0,26032225051.0
아바코,130372631848.0,198606305595.0,31147709258.0,30332967477.0,68233673747.0,62547341292.0,145115133968.0,77394302894.0,212793719592.0,119214461528.0,176712317277.0,49372529830.0,24919988786.0,19587872900.0,26036017849.0
아바코,119214461528.0,212793719592.0,42297157359.0,44470091231.0,93579258064.0,90484819727.0,172596576337.0,106745754007.0,186316024594.0,104145088667.0,206220367234.0,37264599998.0,31373095095.0,25522771496.0,14397284965.0
와이엔텍,134763106927.0,242863497533.0,3338100842.0,8865238959.0,108100390606.0,58617545781.0,33118989958.0,111730111.0,209132059551.0,116581785987.0,69315809804.0,29304889061.0,24178024119.0,18424856953.0,3147193848.0
와이엔텍,116581785987.0,209132059551.0,2759756691.0,7026042873.0,92550273564.0,41616114061.0,22122490957.0,96655013.0,188271346930.0,107554175898.0,58456978919.0,17613984298.0,12095136635.0,9033205090.0,2679668024.0
원익IPS,566554136000.0,899161666256.0,85672003724.0,127061671611.0,332607530256.0,327047469524.0,552974783891.0,322203787596.0,512346016162.0,369216477149.0,390174789600.0,279066767300.0,43461147899.0,42862674126.0,128379065757.0
원익IPS,369216477149.0,512346016162.0,46976189098.0,35791810647.0,143129539013.0,123966746925.0,331715602680.0,184483394045.0,409618120681.0,313468391500.0,391437029909.0,257875654984.0,109813867132.0,86860388555.0,79180958778.0
