,0
고신대복음병원,4555
일,2967
병원장,1939
교수,1021
최영식,917
병원,831
임학,813
부산,764
개최,690
기,688
년,672
월,647
고신대학교복음병원,633
등,606
이번,598
시,437
환자,428
저,395
이상욱,389
진행,365
제공,349
오후,334
층,319
몽골,292
행사,281
명,270
치료,268
수술,265
이날,263
고신대,253
체결,248
수,245
대상,239
방문,237
이뉴스투데,235
장기려기념암센터,231
회,217
부산시,216
개,211
카자흐스탄,211
동,210
의료,208
원장,207
오전,191
중,190
가운데,190
협약,190
초청,189
지역,188
고신대병원,187
실시,186
대강당,181
뉴스,179
복음병원,171
참석,171
이비인후과,170
비롯,160
김,159
의료진,155
장기,152
회장,152
건강,151
씨앤비뉴스,150
개소,150
선정,150
전,150
주년,145
의료봉사,143
유방암,142
것,142
박사,141
주제,139
캠페인,137
대표,135
대,135
고신대복음병원장,133
진료,133
베트남,132
올해,132
의료기관,129
부산대병원,129
개원,128
중국,125
시작,125
경남,125
여명,122
기념식,122
사업,121
분,115
수상,115
지난해,114
등급,113
의료관광,113
강당,112
예방,111
회의실,109
공동,108
교직원,108
사진제공,108
일요신문,106
최초,106
고신대학교,104
부산지역,103
호스피스,102
국내,100
세,100
이하,99
구축,99
차,98
암센터,97
여,97
주관,96
지정,96
세계,96
업무협약,96
내,96
동아대병원,95
예배실,94
운영,94
건강강좌,94
활동,94
기관,92
사랑,92
분야,91
지난달,90
프로젝트,89
주요,88
협약식,88
번,88
선포식,87
지원,87
음악회,85
이강대,84
환우,84
왼쪽,82
의사,82
주,81
부산광역시,81
외,80
연수강좌,80
질환,79
청년의사,79
한국,78
현지,77
협력,77
환자들,77
개소식,77
조경,77
도입,76
예정,75
향상,75
강좌,75
심장내,75
부,75
연구,72
이사장,72
알마티,71
포함,71
참여,71
김은영,71
고신의대,70
서구,70
평가,69
해외,69
보건복지부,69
세미나,69
무료,68
인공지능,68
나눔의료,67
말,66
기념,66
후,66
이상,65
입원,65
교육,65
원,65
인증,65
신문,65
신,65
갑상선,65
전달,64
울산,63
건강보험심사평가원,62
실천,62
박,62
학술대회,62
거점센터,61
주최,61
소화기내,61
시행,61
의사과학자,60
발표,59
심포지엄,59
미국,59
서울,58
관계자들,58
대학병원,57
상급종합병원,57
한편,56
성산,56
김용호,56
시스템,56
두,55
장기려기념,55
마련,55
라,54
가정의학,54
코,54
관리,53
서비스,53
곳,53
핑크하트,53
부산경제진흥원,53
환자안전,53
지원사업,53
러시아,53
소개,52
전국,52
추계학술대회,52
연속,52
정보보호,51
내분비내,51
중앙로비,51
교직원들,51
이용,51
격,50
기념예배,50
위,50
페루,50
울란바토르,50
발생,50
무료진료,50
등재,49
개발,49
보호자,49
교류,48
관계자,48
총장,48
부산백병원,48
외국,48
평,48
만원,48
진단,48
간이식,47
브릿지경제,47
앞,47
필리핀,47
지방,47
부울경,46
며,46
주간,45
최신,45
공동연구,45
병동,45
이형신,45
첫,45
참가,45
감사,45
의료봉사활동,44
결과,44
관련,43
대한갑상선학회,43
양,43
일환,42
이후,42
모바,42
