"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,102267146297.0,62994048267.0,35853401610.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,24301382958.0,7506528618.0,5609480573.0
ifrs-full_OtherCurrentFinancialAssets,금융자산,financial assets,재무상태표 [abstract],자산 [abstract],유동자산,금융자산,16057150466.0,2176268271.0,2427097788.0
ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,Trade and other receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,23452285955.0,19223280386.0,8980864196.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,3875375818.0,2609608067.0,1358491774.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,34580951100.0,31478362925.0,17477467279.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,81276571458.0,78389400764.0,76881931948.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,25375213349.0,20058266166.0,18784817646.0
ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,1926605884.0,1947776001.0,1962574208.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,16448166438.0,15041835811.0,16487311121.0
ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,3928855219.0,4003482291.0,7528913883.0
ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,"Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치측정금융자산,3433918643.0,3149889228.0,
ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,종속기업 및 관계기업투자,"Investments in subsidiaries, joint ventures and associates",재무상태표 [abstract],자산 [abstract],비유동자산,종속기업 및 관계기업투자,29092735074.0,33304441440.0,32098361122.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,1031230171.0,883709827.0,
dart_NonCurrentDerivativeAssets,파생금융자산,derivative assets,재무상태표 [abstract],자산 [abstract],비유동자산,파생금융자산,17846680.0,,19953968.0
ifrs-full_InvestmentsInJointVentures,기타투자자산,other Investments,재무상태표 [abstract],자산 [abstract],비유동자산,기타투자자산,22000000.0,,
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,183543717755.0,141383449031.0,112735333558.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,61145884388.0,44610869087.0,25939753061.0
ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타채무,Trade and other payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타채무,20968313498.0,16718664636.0,11186748992.0
ifrs-full_ShorttermBorrowings,차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,차입금,17085351016.0,17813184362.0,9156713000.0
ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기부채,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기부채,8226765494.0,2458291793.0,2216462034.0
ifrs-full_OtherCurrentFinancialLiabilities,금융부채,financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,금융부채,1198312879.0,1618298531.0,673389723.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,6199100927.0,1507446945.0,1529545979.0
dart_CurrentDerivativeLiabilities,파생금융부채,derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,파생금융부채,2809896849.0,2476539014.0,5280129.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,1450627626.0,1639024130.0,895547077.0
ifrs-full_CurrentProvisions,충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,1553143801.0,379419676.0,276066127.0
ifrs-full_CurrentLeaseLiabilities,리스부채,lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,리스부채,1654372298.0,,
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,16394520712.0,14169553617.0,23245172381.0
dart_LongTermBorrowingsGross,차입금,"borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,차입금,7465164695.0,7226743294.0,16227646887.0
dart_LongTermTradeAndOtherNonCurrentPayables,매입채무 및 기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,매입채무 및 기타채무,973338126.0,1704909458.0,
ifrs-full_OtherNoncurrentFinancialLiabilities,금융부채,financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,금융부채,1102307090.0,710328289.0,63700000.0
