"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,58913694257.0,56380519013.0,66830620921.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,5711349671.0,2026412895.0,8841482611.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,,684813566.0,9815631100.0
dart_ShortTermTradeReceivable,매출채권및계약자산,Short-term trade Receivable and contract assets,재무상태표 [abstract],자산 [abstract],유동자산,매출채권및계약자산,27422963964.0,26851633211.0,45421934903.0
ifrs-full_TradeAndOtherCurrentReceivables,기타채권,other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타채권,3364059456.0,2034392534.0,2352454783.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,362465287.0,518510419.0,399117524.0
ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,20745400.0,,
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,22032110479.0,24264756388.0,
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,27327346020.0,28865593780.0,30837930353.0
dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융자산,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융자산,,,126155454.0
ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,"financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치측정금융자산,1344398763.0,1407955937.0,
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치측정금융자산,50000000.0,50000000.0,
ifrs-full_OtherNoncurrentFinancialAssets,매도가능금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,매도가능금융자산,,,729756800.0
ifrs-full_InvestmentsInAssociates,관계기업투자,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업투자,2325633688.0,2356332000.0,
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,비유동성기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,비유동성기타채권,502464762.0,499258811.0,355889949.0
ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,7779543157.0,7876515938.0,8121356467.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,11776953641.0,11785859152.0,12263480635.0
dart_OtherIntangibleAssetsGross,무형자산,"Intangible assets, gross",재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,2851944065.0,3379416122.0,7458677390.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,696407944.0,1510255820.0,1782613658.0
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,86241040277.0,85246112793.0,97668551274.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,62063213917.0,41248142368.0,43467903068.0
dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,7843970202.0,5024789368.0,14611240471.0
