"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,86723597108.0,86579201101.0,36409094556.0
entity00913689_udf_BS_20171111225555201_CurrentAssets,현금및현금성자산,-,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,29897595458.0,10415077148.0,10460447175.0
entity00913689_udf_BS_20198810014398_CurrentAssets,단기금융상품.,Short-term Financial Instruments,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품.,,1500000000.0,4288730988.0
entity00913689_udf_BS_20171111225219977_CurrentAssets,매출채권및기타채권,Trade and other receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권및기타채권,35879773622.0,46975172660.0,10811137811.0
entity00913689_udf_BS_2020322162623374_CurrentAssets,당기법인세자산.,Current tax assets.,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산.,288624204.0,,18782500.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,14891193175.0,21281162069.0,8791668534.0
entity00913689_udf_BS_2017111122542912_CurrentAssets,기타유동자산,-,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,5766410649.0,6407789224.0,2038327548.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,119702963509.0,62215943651.0,37019179727.0
entity00913689_udf_BS_20198810458423_NoncurrentAssets,장기금융상품.,Long-term Financial Instruments,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품.,3553871712.0,1196500074.0,1373363674.0
