"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,60732751788.0,57419716664.0,47306063570.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,20345477470.0,17630868057.0,8347461239.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융자산,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융자산,0.0,0.0,79000000.0
dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,16585951286.0,14787602475.0,14641783897.0
ifrs-full_TradeAndOtherCurrentReceivables,기타수취채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타수취채권,804371017.0,494296281.0,797866103.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,20743384773.0,21507269013.0,19820035103.0
entity00362201_udf_BS_2018814155444976_CurrentAssets,반품제품회수권,Right-of-use assets,재무상태표 [abstract],자산 [abstract],유동자산,반품제품회수권,116233048.0,104597578.0,0.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,2137334194.0,2895083260.0,3619917228.0
entity00362201_udf_BS_20203139532414_AssetsAbstract,매각예정비유동자산,Non-current assets or disposal groups classified as held for sale or as held for distribution to owners,재무상태표 [abstract],자산 [abstract],매각예정비유동자산,,554730150.0,0.0,0.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,43184346240.0,39453695213.0,38756459019.0
dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융자산,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융자산,125194115.0,109501785.0,852027180.0
dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,Non-current available-for-sale financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,매도가능금융자산,0.0,0.0,3100000.0
ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치 금융자산,"Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치 금융자산,3100000.0,3100000.0,0.0
dart_LongTermTradeReceivablesGross,매출채권,"Long-term trade receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,매출채권,0.0,0.0,0.0
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타수취채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,기타수취채권,259332407.0,303469894.0,326679727.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,39018466868.0,34250091190.0,31520602398.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,855655337.0,1168264085.0,1475743464.0
ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,1290048811.0,1301521357.0,1817250312.0
dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,413987719.0,2117169685.0,1914816532.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,1218560983.0,200577217.0,846239406.0
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,104471828178.0,96873411877.0,86062522589.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,7620386247.0,9163314724.0,7386768582.0
dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,1599047934.0,853994896.0,2056784557.0
ifrs-full_TradeAndOtherCurrentPayables,기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,기타채무,3131544951.0,3303851503.0,1642758713.0
ifrs-full_ShorttermBorrowings,차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,차입금,0.0,2239854000.0,0.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,2087465161.0,1942855151.0,3005385155.0
ifrs-full_CurrentProvisions,충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,31875490.0,19386246.0,90261245.0
ifrs-full_CurrentContractLiabilities,환불부채,Current contract liabilities,재무상태표 [abstract],부채 [abstract],유동부채,환불부채,215442247.0,200030401.0,0.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,555010464.0,603342527.0,591578912.0
entity00362201_udf_BS_202021793240464_LiabilitiesAbstract,매각예정비유동자산 관련 부채,Liabilities for non-current assets held for sale,재무상태표 [abstract],부채 [abstract],매각예정비유동자산 관련 부채,,61454002.0,0.0,0.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,613189102.0,0.0,0.0
dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,613189102.0,0.0,0.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,8295029351.0,9163314724.0,7386768582.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,95216420755.0,86348548168.0,77716946652.0
