"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,1098458551861.0,958567880938.0,1133098145102.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,208984395095.0,329313712831.0,585865180817.0
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,84240456677.0,74847660714.0,84541372991.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정 금융자산(유동),"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,당기손익-공정가치측정 금융자산(유동),29731864938.0,20034921931.0,0.0
ifrs-full_CurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정 금융자산(유동),Current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],유동자산,기타포괄손익-공정가치측정 금융자산(유동),57427095824.0,56384223849.0,0.0
dart_CurrentFinancialAssetsHeldToMaturity,만기보유금융자산(유동),Current financial assets held to maturity,재무상태표 [abstract],자산 [abstract],유동자산,만기보유금융자산(유동),0.0,0.0,720000.0
dart_CurrentDerivativeAsset,파생상품자산(유동),Current derivative asset,재무상태표 [abstract],자산 [abstract],유동자산,파생상품자산(유동),0.0,0.0,2521042531.0
dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,209987986154.0,167445544624.0,165169846902.0
dart_CurrentFirmCommitmentAsset,계약자산(유동),Current firm commitment asset,재무상태표 [abstract],자산 [abstract],유동자산,계약자산(유동),313607707812.0,195886555146.0,235054954361.0
ifrs-full_TradeAndOtherCurrentReceivables,기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타유동채권,11487349137.0,5646432959.0,6212227664.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,58598461206.0,33394869657.0,25206358122.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,124393235018.0,75613959227.0,28526441714.0
