"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,103433097437.0,84368015380.0,88877070846.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,36540746158.0,40164096349.0,37254075635.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융자산,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융자산,1263089670.0,2007897700.0,3727555672.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융자산,"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,당기손익-공정가치금융자산,7934304440.0,5110172500.0,9211646079.0
dart_CurrentAvailableForSaleFinancialAssets,단기매도가능금융자산,Current available-for-sale financial assets,재무상태표 [abstract],자산 [abstract],유동자산,단기매도가능금융자산,,,3000000000.0
dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,27827274099.0,11891714196.0,14675895225.0
dart_ShortTermLoans,단기대여금,Short-term loans,재무상태표 [abstract],자산 [abstract],유동자산,단기대여금,751300908.0,300514562.0,289436202.0
ifrs-full_TradeAndOtherCurrentReceivables,기타수취채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타수취채권,940321294.0,1486138199.0,1147279085.0
ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,20461833.0,,
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,2543930762.0,1973034602.0,585348080.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,25611668273.0,21434447272.0,18985834868.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,106599304231.0,91084853904.0,64215719028.0
dart_NonCurrentAvailableForSaleFinancialAssets,기타포괄손익-공정가치금융자산,Non-current available-for-sale financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치금융자산,1922613330.0,1725929908.0,1808308448.0
dart_LongTermTradeReceivablesGross,장기매출채권,"Long-term trade receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권,1462800000.0,,
dart_LongTermLoansGross,장기대여금,"Long-term loans, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기대여금,1605875178.0,280414990.0,104601635.0
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타비유동수취채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동수취채권,509688064.0,755705993.0,1487205000.0
