"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,387549082707.0,402082745759.0,402605544145.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,37675054905.0,19321855003.0,40277729903.0
dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,235316679639.0,263191731289.0,242315533046.0
dart_ShortTermOtherReceivables,단기미수금,Short-term other Receivables,재무상태표 [abstract],자산 [abstract],유동자산,단기미수금,4388735665.0,5717504529.0,14398031875.0
dart_ShortTermAccruedIncome,단기미수수익,Short-term accrued Income,재무상태표 [abstract],자산 [abstract],유동자산,단기미수수익,14840671.0,82850879.0,49138803.0
ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,1164457531.0,2802890101.0,975664771.0
dart_CurrentValueAddedTaxReceivables,부가가치세대급금,Current value added tax receivables,재무상태표 [abstract],자산 [abstract],유동자산,부가가치세대급금,6170576846.0,4393063826.0,7237269484.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,92741726764.0,97157957559.0,83118074970.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,6249935767.0,3690719163.0,6551702380.0
