"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,45834343255.0,44423243999.0,39091583485.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,16913224297.0,19921283772.0,16400913145.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,60000000.0,360000000.0,870000000.0
dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,14903081368.0,10388256564.0,10503558224.0
ifrs-full_TradeAndOtherCurrentReceivables,기타수채권,other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타수채권,662498523.0,670605999.0,752273722.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,10485321010.0,8902322772.0,7003882879.0
ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,13199512.0,21393090.0,17057439.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,2797018545.0,4159381802.0,3543898076.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,69319681000.0,65445857404.0,36372619537.0
dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,1508650000.0,908650000.0,341017500.0
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타수취채권,"non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,기타수취채권,159291000.0,155791000.0,148677500.0
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,비유동 기타포괄손익-공정가치 측정 금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,비유동 기타포괄손익-공정가치 측정 금융자산,1760585070.0,1578752820.0,764584500.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,63026527566.0,60180292157.0,32630258573.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,2767080853.0,2544179275.0,2441579465.0
dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,97546511.0,78192152.0,46501999.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,,,
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,115154024255.0,109869101403.0,75464203022.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,28330410051.0,18126396983.0,17106735976.0
ifrs-full_TradeAndOtherCurrentPayables,매입채무,Trade,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,11298820507.0,8096981670.0,7258293261.0
entity00531865_udf_BS_2020249365957_CurrentLiabilities,기타지급채무,other current payables,재무상태표 [abstract],부채 [abstract],유동부채,기타지급채무,1213156001.0,677381220.0,644268219.0
ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,4222649134.0,0.0,0.0
ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,631820000.0,4194930000.0,4531080000.0
entity00531865_udf_BS_2020314141946721_CurrentLiabilities,전환사채,Convertible bonds,재무상태표 [abstract],부채 [abstract],유동부채,전환사채,7146279442.0,0.0,0.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,807054437.0,910082707.0,527784132.0
ifrs-full_CurrentProvisions,충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,100143367.0,301625453.0,300156765.0
dart_OtherCurrentLiabilities,기타부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타부채,2910487163.0,3945395933.0,3845153599.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20499015425.0,27998185413.0,3123184930.0
dart_LongTermTradeAndOtherNonCurrentPayables,기타지급채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,기타지급채무,24359641.0,15188909.0,6479130.0
dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,19753690000.0,20374610000.0,2129540000.0
dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,74873760.0,46232060.0,111409150.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,646092024.0,864167290.0,875756650.0
dart_ConvertibleBonds,전환사채,Convertible bonds,재무상태표 [abstract],부채 [abstract],비유동부채,전환사채,0.0,6697987154.0,0.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,48829425476.0,46124582396.0,20229920906.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주 지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주 지분,,65511378101.0,62907443925.0,55234282116.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주 지분,자본금,5963760000.0,5963760000.0,5963760000.0
entity00531865_udf_BS_2020249482746_EquityAttributableToOwnersOfParent,기타불입자본,Other paid-in capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주 지분,기타불입자본,12113200857.0,14899336107.0,12720063012.0
ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주 지분,이익잉여금(결손금),48679748192.0,43093414835.0,37502041725.0
dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주 지분,기타자본구성요소,-1245330948.0,-1049067017.0,-951582621.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,813220678.0,837075082.0,0.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,66324598779.0,63744519007.0,55234282116.0
