"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,,53801503447.0,53438139411.0,52746012089.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,,10037029358.0,10137142951.0,10578962964.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,금융기관예치금,,1525856740.0,1820387276.0,1644911954.0
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,,2925860965.0,2300479506.0,2040073722.0
dart_CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss,유동당기손익인식지정금융자산,Current financial asset designation as at fair value through profit or loss,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,유동당기손익인식지정금융자산,0.0,0.0,2040073722.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,유동 당기손익-공정가치 측정 지정 금융자산,"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,유동 당기손익-공정가치 측정 지정 금융자산,2925860965.0,2300479506.0,0.0
ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,,28482578168.0,28494135093.0,28991445787.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,,9142950460.0,9205301572.0,9101349517.0
dart_OtherCurrentAssets,기타자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타자산,,1686850326.0,1198356323.0,344749662.0
ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,,377430.0,180690.0,44518483.0
entity00231831_udf_BS_2019326155457840_CurrentAssets,파생금융자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],유동자산,파생금융자산,,0.0,282156000.0,0.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,,32940587706.0,30602658770.0,30772166011.0
