"[D431420] Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)","[D431420] Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)","[D431420] Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)","[D431420] Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)","[D431420] Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)","[D431420] Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170301-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,수익(매출액),Revenue(Sales),포괄손익계산서 [abstract],수익(매출액),,462077778626.0,714239792928.0,962422667284.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,389455738650.0,613068541414.0,900346559283.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,72622039976.0,101171251514.0,62076108001.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,44570060254.0,52688582125.0,33226313035.0
entity01203808_udf_IS_2018810111551721_StatementOfComprehensiveIncomeAbstract,대손상각비,bad debt expense,포괄손익계산서 [abstract],대손상각비,,-375142831.0,2729827290.0,2689929592.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [abstract],영업이익(손실),,28427122553.0,45752842099.0,26159865374.0
dart_OtherGains,기타수익,Other gains,포괄손익계산서 [abstract],기타수익,,6640375480.0,12455181607.0,16035988832.0
entity01203808_udf_IS_2018810111748550_StatementOfComprehensiveIncomeAbstract,기타의 대손상각비,others bad debt expense,포괄손익계산서 [abstract],기타의 대손상각비,,10500000.0,162782877.0,1157729877.0
dart_OtherLosses,기타비용,Other losses,포괄손익계산서 [abstract],기타비용,,13146449528.0,19865464075.0,17007031625.0
