"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Revenue(Sales),포괄손익계산서 [abstract],매출액,,,66720013075.0,74617790222.0,67720042187.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,,57397379368.0,62087690762.0,52525691488.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,,9322633707.0,12530099460.0,15194350699.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,,7745015344.0,8969943518.0,7526075839.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),포괄손익계산서 [abstract],영업이익,,,1577618363.0,3560155942.0,7668274860.0
dart_OtherGains,기타수익,Other gains,포괄손익계산서 [abstract],기타수익,,,1239230382.0,1403211345.0,1404985797.0
dart_OtherLosses,기타비용,Other losses,포괄손익계산서 [abstract],기타비용,,,1407276214.0,13951916523.0,841085051.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,,464951760.0,89404927.0,106635631.0
ifrs-full_FinanceCosts,금융비용,Finance costs,포괄손익계산서 [abstract],금융비용,,,782148962.0,725858861.0,395306278.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익,,,1092375329.0,-9625003170.0,7943504959.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,포괄손익계산서 [abstract],법인세비용,,,109615698.0,-2143205327.0,1655650151.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),포괄손익계산서 [abstract],당기순이익,,,982759631.0,-7481797843.0,6287854808.0
entity00230911_udf_IS_20188113557563_ProfitLoss,당기순이익의 귀속,"Profit (loss), attributable to",포괄손익계산서 [abstract],당기순이익,당기순이익의 귀속,,,,
entity00230911_udf_IS_201881135555699_udf_IS_20188113557563_ProfitLoss,지배기업 소유주지분,"Profit (loss), attributable to owners of parent",포괄손익계산서 [abstract],당기순이익,당기순이익의 귀속,지배기업 소유주지분,982759631.0,-7481797843.0,6287854808.0
entity00230911_udf_IS_2018811356651_udf_IS_20188113557563_ProfitLoss,비지배지분,"Profit (loss), attributable to non-controlling interests",포괄손익계산서 [abstract],당기순이익,당기순이익의 귀속,비지배지분,0.0,0.0,0.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,,1123640023.0,-82049030.0,-117862144.0
