[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,-3025656762.0,-2016464895.0,753041623.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,,-73209692.0,-77157010.0,158612843.0
dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,-73209692.0,-77157010.0,152854247.0
dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채의 재측정요소,"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),순확정급여부채의 재측정요소,-73209692.0,-77157010.0,152854247.0
dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,,,5758596.0
ifrs-full_GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeNetOfTax,장기투자자산평가손익,"Gains (losses) on financial assets measured at fair value through other comprehensive income, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),장기투자자산평가손익,,,5758596.0
ifrs-full_ComprehensiveIncome,당기 총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],당기 총포괄손익,,,-3098866454.0,-2093621905.0,911654466.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배주주지분,"Comprehensive income, attributable to owners of parent",포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],지배주주지분,,-3079891110.0,-2035646020.0,926882285.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,"Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],비지배지분,,-18975344.0,-57975885.0,-15227819.0
