"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Revenue(Sales),포괄손익계산서 [abstract],매출액,,159100863055.0,107311221629.0,80853618027.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,130485538721.0,86646381021.0,63820228284.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,28615324334.0,20664840608.0,17033389743.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,12309523209.0,9330119756.0,7135789738.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),포괄손익계산서 [abstract],영업이익,,16305801125.0,11334720852.0,9897600005.0
dart_OtherGains,기타수익,Other gains,포괄손익계산서 [abstract],기타수익,,245691564.0,228705965.0,119003861.0
dart_OtherLosses,기타비용,Other losses,포괄손익계산서 [abstract],기타비용,,182592606.0,455615920.0,33780491.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,846325303.0,464525165.0,313402687.0
ifrs-full_FinanceCosts,금융비용,Finance costs,포괄손익계산서 [abstract],금융비용,,200618501.0,85028384.0,738990284.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익,,17014606885.0,11487307678.0,9557235778.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,포괄손익계산서 [abstract],법인세비용,,2508123418.0,2335356377.0,1604680507.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),포괄손익계산서 [abstract],당기순이익,,14506483467.0,9151951301.0,7952555271.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,-289932764.0,-785938383.0,112885030.0
dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되지 않는항목,,,
dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여채무의 재측정요소,"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되지 않는항목,-289932764.0,-785938383.0,112885030.0
ifrs-full_ComprehensiveIncome,당기총포괄이익,Total comprehensive income,포괄손익계산서 [abstract],당기총포괄이익,,14216550703.0,8366012918.0,8065440301.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유주지분,"Profit (loss), attributable to owners of parent",포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],지배기업 소유주지분,14709273121.0,9489907593.0,8104220520.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],비지배지분,-202789654.0,-337956292.0,-151665249.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 소유주지분,"Comprehensive income, attributable to owners of parent",포괄손익계산서 [abstract],총포괄이익의 귀속,지배기업 소유주지분,14419340357.0,8703969210.0,8217105550.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,"Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [abstract],총포괄이익의 귀속,비지배지분,-202789654.0,-337956292.0,-151665249.0
ifrs-full_BasicEarningsLossPerShare,기본주당순손익,Basic earnings (loss) per share,포괄손익계산서 [abstract],지배기업 소유지분에 대한 주당순이익,기본주당순손익,1850.0,1204.0,1061.0
ifrs-full_DilutedEarningsLossPerShare,희석주당순손익,Diluted earnings (loss) per share,포괄손익계산서 [abstract],지배기업 소유지분에 대한 주당순이익,희석주당순손익,1850.0,1194.0,1024.0
