"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Revenue(Sales),포괄손익계산서 [abstract],매출액,,,377405556063.0,348076303630.0,350575738942.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,,370241620789.0,336516538691.0,335628058948.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,,7163935274.0,11559764939.0,14947679994.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,,14074354078.0,12974012734.0,12884533470.0
dart_OperatingIncomeLoss,영업손익,Operating income(loss),포괄손익계산서 [abstract],영업손익,,,-6910418804.0,-1414247795.0,2063146524.0
dart_OtherGains,기타수익,Other gains,포괄손익계산서 [abstract],기타수익,,,1237911991.0,1350843050.0,1040909287.0
dart_OtherLosses,기타비용,Other losses,포괄손익계산서 [abstract],기타비용,,,3327519668.0,1575077581.0,3438174631.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,,3337517446.0,2107507472.0,1402063523.0
ifrs-full_FinanceCosts,금융비용,Finance costs,포괄손익계산서 [abstract],금융비용,,,4726841037.0,3003862841.0,4045154309.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익(손실),,,-10389350072.0,-2534837695.0,-2977209606.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,포괄손익계산서 [abstract],법인세비용,,,302621920.0,124051710.0,8537514.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업당기순손익,Profit (loss) from continuing operations,포괄손익계산서 [abstract],계속영업당기순손익,,,-10691971992.0,-2658889405.0,-2985747120.0
