"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Revenue(Sales),포괄손익계산서 [abstract],매출액,,,177224394730.0,193174244270.0,206521698595.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,,163288128220.0,171773247567.0,176543636638.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,,13936266510.0,21400996703.0,29978061957.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,,20826173301.0,19158450601.0,19516200660.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),포괄손익계산서 [abstract],영업이익,,,-6889906791.0,2242546102.0,10461861297.0
dart_OtherGains,기타수익,Other gains,포괄손익계산서 [abstract],기타수익,,,1950909932.0,364853629.0,312084677.0
dart_OtherLosses,기타비용,Other losses,포괄손익계산서 [abstract],기타비용,,,639555499.0,951691904.0,470583718.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,,1986792913.0,1937387989.0,546209514.0
ifrs-full_FinanceCosts,금융비용,Finance costs,포괄손익계산서 [abstract],금융비용,,,529131834.0,816668284.0,2515832500.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익,,,-4120891279.0,2776427532.0,8333739270.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,포괄손익계산서 [abstract],법인세비용,,,392131406.0,3970519243.0,855675771.0
ifrs-full_ProfitLoss,당기순손익,Profit (loss),포괄손익계산서 [abstract],당기순손익,,,-4513022685.0,-1194091711.0,7478063499.0
entity00536523_udf_IS_201959145048778_ProfitLoss,지배기업 소유주지분,attributable to owners of parent,포괄손익계산서 [abstract],당기순손익,지배기업 소유주지분,,-4513022685.0,-1136080548.0,7591441215.0
entity00536523_udf_IS_201959145051480_ProfitLoss,비지배지분,attributable to non-controlling interests,포괄손익계산서 [abstract],당기순손익,비지배지분,,,-58011163.0,-113377716.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,,-1355387980.0,460831307.0,-707430687.0
dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 포괄손익,"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,,,,
ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업환산손익,"Gains (losses) on exchange differences on translation, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,해외사업환산손익,24825839.0,-27794396.0,-521566439.0
dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 포괄손익,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,,
dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,보험수리적손익,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,보험수리적손익,-1380213819.0,488625703.0,-185864248.0
ifrs-full_ComprehensiveIncome,총포괄이익,Total comprehensive income,포괄손익계산서 [abstract],총포괄이익,,,-5868410665.0,-733260404.0,6770632812.0
entity00536523_udf_IS_20195914371597_ComprehensiveIncome,지배기업 소유주지분,attributable to owners of parent,포괄손익계산서 [abstract],총포괄이익,지배기업 소유주지분,,-5868410665.0,-675249241.0,6884010528.0
entity00536523_udf_IS_20195914374160_ComprehensiveIncome,비지배지분,attributable to non-controlling interests,포괄손익계산서 [abstract],총포괄이익,비지배지분,,,-58011163.0,-113377716.0
ifrs-full_BasicEarningsLossPerShare,기본주당순이익,Basic earnings (loss) per share,포괄손익계산서 [abstract],주당이익 [abstract],기본주당순이익,,-463.0,-131.0,973.0
