"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,수익(매출액),Revenue(Sales),포괄손익계산서 [abstract],수익(매출액),,,49953293715.0,129129270694.0,100780806399.0
ifrs-full_RevenueFromSaleOfGoods,제품 및 용역매출액,Revenue(Saels) from sale of goods,포괄손익계산서 [abstract],수익(매출액),제품 및 용역매출액,,48924012893.0,128629399118.0,100632689961.0
ifrs-full_OtherRevenue,기타수익(매출액),Other revenue(Sales),포괄손익계산서 [abstract],수익(매출액),기타수익(매출액),,1029280822.0,499871576.0,148116438.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,,37967055959.0,92104969781.0,71213356569.0
dart_CostOfSalesFromSaleOfGoods,제품 및 용역매출원가,Cost of sales from sale of goods,포괄손익계산서 [abstract],매출원가,제품 및 용역매출원가,,37967055959.0,92104969781.0,71213356569.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,,11986237756.0,37024300913.0,29567449830.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,,8200872974.0,7804607181.0,8745931617.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [abstract],영업이익(손실),,,3785364782.0,29219693732.0,20821518213.0
dart_OtherGains,기타이익,Other gains,포괄손익계산서 [abstract],기타이익,,,177490403.0,104920932.0,106571918.0
dart_OtherLosses,기타손실,Other losses,포괄손익계산서 [abstract],기타손실,,,153901229.0,55903945.0,71737307.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,,3768182264.0,4019602417.0,1830434202.0
ifrs-full_FinanceCosts,금융원가,Finance costs,포괄손익계산서 [abstract],금융원가,,,407847926.0,2033715315.0,7613592014.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익(손실),,,7169288294.0,31254597821.0,15073195012.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,포괄손익계산서 [abstract],법인세비용,,,2369005934.0,6770766239.0,2901849746.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,4800282360.0,24483831582.0,12171345266.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,,-139702031.0,90488976.0,20172021.0
dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 포괄손익,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,,-139702031.0,90488976.0,-33643793.0
dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,보험수리적손실,"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,보험수리적손실,-142937939.0,87350412.0,-33643793.0
entity00610083_udf_IS_2018824131541618_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,기타포괄손익-공정가치측정 금융자산 평가손익,Gains (losses) on financial assets measured at fair value through other,포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,기타포괄손익-공정가치측정 금융자산 평가손익,3235908.0,3138564.0,0.0
dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 포괄손익,"Gains (losses) on financial assets measured at fair value through other  , net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,,0.0,0.0,53815814.0
ifrs-full_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,매도가능증권평가이익,"Gains (losses) on remeasuring available-for-sale financial assets, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,매도가능증권평가이익,0.0,0.0,53815814.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,4660580329.0,24574320558.0,12191517287.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,포괄손익계산서 [abstract],주당이익 [abstract],기본주당이익(손실),,396.0,2021.0,1004.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,포괄손익계산서 [abstract],주당이익 [abstract],희석주당이익(손실),,396.0,2021.0,1004.0
