"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Revenue(Sales),포괄손익계산서 [abstract],매출액,,,695685232873.0,529153973379.0,391339341092.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,,655972307862.0,487558333120.0,350083528674.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,,39712925011.0,41595640259.0,41255812418.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,,20704283609.0,21030105121.0,16399532485.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [abstract],영업이익(손실),,,19008641402.0,20565535138.0,24856279933.0
dart_OtherGains,기타수익,Other gains,포괄손익계산서 [abstract],기타수익,,,3136827723.0,9845042303.0,2443146685.0
dart_OtherLosses,기타비용,Other losses,포괄손익계산서 [abstract],기타비용,,,111495191962.0,15202306221.0,1699294699.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,,3956733824.0,1992241291.0,1719776692.0
ifrs-full_FinanceCosts,금융비용,Finance costs,포괄손익계산서 [abstract],금융비용,,,2638145973.0,1172857348.0,3325956755.0
entity00216498_udf_IS_201932718588132_StatementOfComprehensiveIncomeAbstract,지분법손익,Equity Loss on Investments,포괄손익계산서 [abstract],지분법손익,,,4823820929.0,4345674351.0,5050415004.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익(손실),,,-83207314057.0,20373329514.0,29044366860.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Income tax expense,포괄손익계산서 [abstract],법인세비용(수익),,,-17638917164.0,3056026435.0,7808901693.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,-65568396893.0,17317303079.0,21235465167.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순손익,"Profit (loss), attributable to owners of parent",포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순손익,,-64342310980.0,17432845166.0,22112079992.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순손익,"Profit (loss), attributable to non-controlling interests",포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순손익,,-1226085913.0,-115542087.0,-876614825.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,,6700367297.0,-1880467693.0,-9577819984.0
dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는 항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되지 않는 항목,,5202872226.0,-1837497949.0,-1333500223.0
entity00216498_udf_IS_201932719130323_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,순확정급여부채의 재측정요소,"Other comprehensive income, net of tax, gains (losses) on  corporate tax effect",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되지 않는 항목,순확정급여부채의 재측정요소,-2385107472.0,-1835591824.0,-1333500223.0
entity00216498_udf_IS_20203241232518_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,기타포괄손익공정가치금융자산 평가손익,Cumulative gain previously recognised in other comprehensive income arising from reclassification of financial assets out of fair value through other comprehensive income into fair value through profit or loss measurement category,포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되지 않는 항목,기타포괄손익공정가치금융자산 평가손익,27763125.0,-1906125.0,0.0
entity00216498_udf_IS_2020324123234999_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,유형자산재평가잉여금,Tangible asset  revaluation surplus,포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되지 않는 항목,유형자산재평가잉여금,7560216573.0,0.0,0.0
dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,1497495071.0,-42969744.0,-8244319761.0
ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업환산손익,"Gains (losses) on exchange differences on translation, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,해외사업환산손익,1871379327.0,-99137335.0,-7929027988.0
entity00216498_udf_IS_2020324123649507_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법자본변동,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,지분법자본변동,-373884256.0,56167591.0,-315291773.0
ifrs-full_ComprehensiveIncome,당기총포괄이익,Total comprehensive income,포괄손익계산서 [abstract],당기총포괄이익,,,-58868029596.0,15436835386.0,11657645183.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배회사의 소유주 지분,"Comprehensive income, attributable to owners of parent",포괄손익계산서 [abstract],당기총포괄이익의 귀속,지배회사의 소유주 지분,,-57688080118.0,15497884133.0,12486037685.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,"Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [abstract],당기총포괄이익의 귀속,비지배지분,,-1179949478.0,-61048747.0,-828392502.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,포괄손익계산서 [abstract],지배회사의 소유주 지분에 대한 주당순손익,기본주당이익(손실),,-4277.0,1154.0,1480.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,포괄손익계산서 [abstract],지배회사의 소유주 지분에 대한 주당순손익,희석주당이익(손실),,-4216.0,1146.0,1457.0
