"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액.,Revenue(Sales),포괄손익계산서 [abstract],매출액.,,281348171458.0,256592700518.0,102214767003.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,227514840387.0,197385166599.0,89733764700.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,53833331071.0,59207533919.0,12481002303.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,30455284988.0,20610752036.0,12157339376.0
entity00913689_udf_IS_201987205611310_StatementOfComprehensiveIncomeAbstract,매출채권손상차손,Impairment loss on trade receivables,포괄손익계산서 [abstract],매출채권손상차손,,,,-115041036.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [abstract],영업이익(손실),,23378046083.0,38596781883.0,438703963.0
entity00913689_udf_IS_201987205711131_StatementOfComprehensiveIncomeAbstract,순금융손익,Net financial gains and losses,포괄손익계산서 [abstract],순금융손익,,687364431.0,-2046639621.0,886870159.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,1623772511.0,705843544.0,1453142119.0
entity00913689_udf_IS_20171111231430758_StatementOfComprehensiveIncomeAbstract,금융비용,financial cost,포괄손익계산서 [abstract],금융비용,,936408080.0,2752483165.0,566271960.0
