"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,수익(매출액),Revenue(Sales),포괄손익계산서 [abstract],수익(매출액),,,20974332943.0,24369577390.0,25634637631.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,,18782431449.0,20651290175.0,21269040630.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,,2191901494.0,3718287215.0,4365597001.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,,9518522855.0,8078362612.0,9874226765.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [abstract],영업이익(손실),,,-7326621361.0,-4360075397.0,-5508629764.0
dart_OtherGains,기타이익,Other gains,포괄손익계산서 [abstract],기타이익,,,56060078.0,134240626.0,634725361.0
dart_OtherLosses,기타손실,Other losses,포괄손익계산서 [abstract],기타손실,,,1249267087.0,3883967047.0,5558218826.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,,1298329828.0,3723709933.0,909740184.0
ifrs-full_FinanceCosts,금융원가,Finance costs,포괄손익계산서 [abstract],금융원가,,,669536450.0,5787987002.0,3845978350.0
entity00896753_udf_IS_201932720351216_StatementOfComprehensiveIncomeAbstract,공동기업및관계기업투자손익,invest income(loss) of an interested concern,포괄손익계산서 [abstract],공동기업및관계기업투자손익,,,-240382820.0,-3272133913.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익(손실),,,-8131417812.0,-13446212800.0,-13368361395.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,포괄손익계산서 [abstract],법인세비용,,,,,944820589.0
ifrs-full_ProfitLossFromContinuingOperations,계속사업순이익(손실),Profit (loss) from continuing operations,포괄손익계산서 [abstract],계속사업순이익(손실),,,-8131417812.0,-13446212800.0,-14313181984.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익(손실),Profit (loss) from discontinued operations,포괄손익계산서 [abstract],중단영업이익(손실),,,1816864320.0,84181155.0,-4359986844.0
