"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Revenue(Sales),포괄손익계산서 [abstract],매출액,,,669241556900.0,649312684893.0,630860973364.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,,390174789600.0,391437029909.0,379634687337.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,,279066767300.0,257875654984.0,251226286027.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,,128379065757.0,79180958778.0,69412886361.0
entity01135941_udf_IS_2017118192337739_StatementOfComprehensiveIncomeAbstract,경상연구개발비,Ordinary development expense,포괄손익계산서 [abstract],경상연구개발비,,,109571671935.0,72800184211.0,59561632122.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [abstract],영업이익(손실),,,41116029608.0,105894511995.0,122251767544.0
dart_OtherGains,기타수익,Other gains,포괄손익계산서 [abstract],기타수익,,,4319050924.0,3025436737.0,3890454052.0
dart_OtherLosses,기타비용,Other losses,포괄손익계산서 [abstract],기타비용,,,3449148491.0,1651567818.0,3095023201.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,,2395652971.0,3610775359.0,1530491801.0
ifrs-full_FinanceCosts,금융비용,Finance costs,포괄손익계산서 [abstract],금융비용,,,611595551.0,1040468367.0,307351952.0
entity01135941_udf_IS_201887153815625_StatementOfComprehensiveIncomeAbstract,투자비용,investment costs,포괄손익계산서 [abstract],투자비용,,,308841562.0,24820774.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익(손실),,,43461147899.0,109813867132.0,124270338244.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,포괄손익계산서 [abstract],법인세비용,,,598473773.0,22953478577.0,28905757419.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,42862674126.0,86860388555.0,95364580825.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,,-128065214.0,-833157787.0,-817951172.0
dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되는 세후기타포괄손익,"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되는 세후기타포괄손익,,-182377810.0,-51607513.0,-81347863.0
ifrs-full_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산평가손익,"Gains (losses) on remeasuring available-for-sale financial assets, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되는 세후기타포괄손익,매도가능금융자산평가손익,,,-35285496.0
