"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,수익(매출액),Revenue(Sales),포괄손익계산서 [abstract],수익(매출액),,167160372873.0,308791515682.0,1138438649883.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,146075849858.0,281499726125.0,907370287787.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,21084523015.0,27291789557.0,231068362096.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,27648895034.0,19064724602.0,19369904907.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [abstract],영업이익(손실),,-6564372019.0,8227064955.0,211698457189.0
dart_OtherGains,기타이익,Other gains,포괄손익계산서 [abstract],기타이익,,22136008550.0,20405139016.0,14742913909.0
dart_OtherLosses,기타손실,Other losses,포괄손익계산서 [abstract],기타손실,,11722085211.0,1545404221.0,37405606247.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,3300389610.0,3473232911.0,3215015179.0
dart_InterestIncomeFinanceIncome,이자수익,Interest income,포괄손익계산서 [abstract],금융수익,이자수익,3287432660.0,3470770911.0,3045910297.0
dart_DividendIncome,배당금수익(금융수익),Dividend Income,포괄손익계산서 [abstract],금융수익,배당금수익(금융수익),12956950.0,2462000.0,2009650.0
dart_GainsFromFinancialGuaranteeFinancialIncome,금융보증(계약)수익,Gains from financial guarantee financial income,포괄손익계산서 [abstract],금융수익,금융보증(계약)수익,0.0,0.0,167095232.0
ifrs-full_FinanceCosts,금융원가,Finance costs,포괄손익계산서 [abstract],금융원가,,3745160208.0,314321200.0,2052895924.0
dart_InterestExpenseFinanceExpense,이자비용,Interest expense,포괄손익계산서 [abstract],금융원가,이자비용,3745160208.0,314321200.0,2052895924.0
entity00531917_udf_IS_2019328191043227_StatementOfComprehensiveIncomeAbstract,지분법손실,Losses on equity method,포괄손익계산서 [abstract],지분법손실,,64376407.0,16623593.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익(손실),,3340404315.0,30229087868.0,190197884106.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,포괄손익계산서 [abstract],법인세비용,,3129642016.0,12538297283.0,40731764365.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,210762299.0,17690790585.0,149466119741.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,15867047.0,5886002.0,310115480.0
dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),15867047.0,5886002.0,310115480.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,226629346.0,17696676587.0,149776235221.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),3659337232.0,19755967309.0,149563680186.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),-3448574933.0,-2065176724.0,-97560445.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",3675204279.0,19761853311.0,149873795666.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"총 포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",-3448574933.0,-2065176724.0,-97560445.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,포괄손익계산서 [abstract],주당이익 [abstract],기본주당이익(손실),105.0,546.0,4151.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,포괄손익계산서 [abstract],주당이익 [abstract],희석주당이익(손실),105.0,546.0,4151.0
