"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170301-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,18066603027.0,-49247951543.0,55712080827.0
entity01203808_udf_CF_20184114425765_CashFlowsFromUsedInOperatingActivities,영업으로부터 창출된 현금흐름,Cash flow from operating,현금흐름표 [abstract],영업활동현금흐름,영업으로부터 창출된 현금흐름,28494689221.0,-44849785675.0,66428250905.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취(영업),Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취(영업),588613040.0,743697987.0,902704998.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급(영업),4505477216.0,4259148027.0,2714253718.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),6511222018.0,882715828.0,8904621358.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,7387854309.0,12024912115.0,-46690131902.0
entity01203808_udf_CF_20193251413085_CashFlowsFromUsedInInvestingActivities,투자활동현금유입액,Amount of cash inflow from investing activities,현금흐름표 [abstract],투자활동현금흐름,투자활동현금유입액,11086595575.0,27568882010.0,250995590.0
entity01203808_udf_CF_201841141039458_CashFlowsFromUsedInInvestingActivities,금융기관예치금의 감소,decrease in financial institution deposits,현금흐름표 [abstract],투자활동현금흐름,금융기관예치금의 감소,244140000.0,27221286782.0,0.0
entity01203808_udf_CF_2020320145052673_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치 측정 금융자산의 감소,Decrease in financial assets at fair value through profit or loss,현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치 측정 금융자산의 감소,8934044499.0,,
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,878586047.0,107179875.0,13377791.0
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 처분,431558893.0,,
entity01203808_udf_CF_20184114733342_CashFlowsFromUsedInInvestingActivities,기타수취채권의 감소,Decrease in other Receivables,현금흐름표 [abstract],투자활동현금흐름,기타수취채권의 감소,587866600.0,240415353.0,237617799.0
entity01203808_udf_CF_2018810115619966_CashFlowsFromUsedInInvestingActivities,기타지급채무의 증가,Increase in other payment liabilities,현금흐름표 [abstract],투자활동현금흐름,기타지급채무의 증가,10399536.0,0.0,0.0
entity01203808_udf_CF_201932514238453_CashFlowsFromUsedInInvestingActivities,투자활동현금유출액,Amount of cash outflow from investing activities,현금흐름표 [abstract],투자활동현금흐름,투자활동현금유출액,-3698741266.0,-15543969895.0,-46941127492.0
entity01203808_udf_CF_2018810115730996_CashFlowsFromUsedInInvestingActivities,금융기관예치금의 증가,increase in financial institution deposits,현금흐름표 [abstract],투자활동현금흐름,금융기관예치금의 증가,,0.0,29509723361.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,1340094664.0,8099695623.0,8070183246.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,1370046602.0,492749204.0,5319775133.0
entity01203808_udf_CF_201932514323157_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치금융자산의 증가,Increase in financial assets at fair value through profit or loss,현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치금융자산의 증가,,1839874026.0,3714200003.0
entity01203808_udf_CF_20184114131703_CashFlowsFromUsedInInvestingActivities,기타수취채권의 증가,Increase in other receivables,현금흐름표 [abstract],투자활동현금흐름,기타수취채권의 증가,988600000.0,924938673.0,327245749.0
entity01203808_udf_CF_201881011586365_CashFlowsFromUsedInInvestingActivities,사업결합으로 인한 현금유출액,Cash outflow from business combination,현금흐름표 [abstract],투자활동현금흐름,사업결합으로 인한 현금유출액,,3265000000.0,0.0
