"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,,,19910483896.0,-17324175001.0,2965168379.0
entity00230911_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,영업활동에서 창출된 현금,Cash from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,,,20682076787.0,-15053908607.0,4238238326.0
entity00230911_udf_CF_2017111104045664_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,당기순이익(손실),Profit (loss),현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,당기순이익(손실),,982759631.0,-7481797843.0,6287854808.0
entity00230911_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,비현금비용(수익)조정,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,,3897953101.0,14480282965.0,4436718265.0
entity00230911_udf_CF_2017111104217947_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,법인세비용,Adjustments for income tax expense,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,법인세비용,109615698.0,-2143205327.0,1655650151.0
entity00230911_udf_CF_2017111104232572_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,대손상각비(환입),Adjustments(reversal) for bad debt expenses,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,대손상각비(환입),-131990996.0,577312448.0,73463822.0
entity00230911_udf_CF_2020220132146547_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,기타의 대손상각비,Adjustments for other bad debt expenses,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,기타의 대손상각비,0.0,0.0,43542500.0
entity00230911_udf_CF_2017111104246306_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,감가상각비,Adjustments for depreciation expense,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,감가상각비,1612766347.0,1325506746.0,1523761811.0
entity00230911_udf_CF_201711110425788_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,투자부동산 감가상각비,Adjustments for depreciation expense of investment property,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,투자부동산 감가상각비,46294292.0,49204982.0,63758439.0
entity00230911_udf_CF_201711110437666_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,무형자산상각비,Adjustments for amortisation expense,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,무형자산상각비,21299960.0,16496725.0,35448032.0
entity00230911_udf_CF_2017111104322322_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,퇴직급여,Adjustments for provision for severance indemnities,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,퇴직급여,773303225.0,728804067.0,767892177.0
