"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,-2530010227.0,5460183759.0,-4063980469.0
dart_ProfitLossForStatementOfCashFlows,당기순이익(손실),Profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익(손실),-30354499317.0,-14341575045.0,-17768449236.0
dart_AdjustmentsForOtherLossesWithoutCashFlowOut,기타 현금의 유출 없는 비용등,Adjustments for other losses without cash flow out,현금흐름표 [abstract],영업활동현금흐름,기타 현금의 유출 없는 비용등,30027564489.0,15100126844.0,23632183455.0
dart_AdjustmentsForOtherGainsWithoutCashFlowIn,기타 현금의 유입 없는 수익등,Adjustments for other gains without cash flow in,현금흐름표 [abstract],영업활동현금흐름,기타 현금의 유입 없는 수익등,2613656510.0,2898226478.0,2510059306.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로인한자산ㆍ부채의변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,612971418.0,7521452227.0,-7801864589.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취(영업),Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취(영업),587814639.0,555427478.0,1083349467.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),,-374126050.0,
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취(영업),Dividends received,현금흐름표 [abstract],영업활동현금흐름,배당금수취(영업),,150947054.0,
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급(영업),790204946.0,352115090.0,639959389.0
ifrs-full_AdjustmentsForIncomeTaxExpense,법인세비용,Adjustments for income tax expense,현금흐름표 [abstract],영업활동현금흐름,법인세비용,,-649979281.0,-59180871.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-9548430043.0,-9283266194.0,-6558526340.0
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 처분,Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 처분,11420000000.0,29577201040.0,76724929793.0
ifrs-full_CashReceiptsFromRepaymentOfAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,제3자에 대한 선급금 및 대여금의 회수에 따른 현금유입,Cash receipts from repayment of advances and loans made to other parties,현금흐름표 [abstract],투자활동현금흐름,제3자에 대한 선급금 및 대여금의 회수에 따른 현금유입,,,13078743000.0
dart_ProceedsFromSalesOfShortTermLoansAndReceivables,단기대여금및수취채권의 처분,Proceeds from sales of short-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,단기대여금및수취채권의 처분,8183517147.0,9854310115.0,5736311909.0
dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 처분,Proceeds from sales of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 처분,,121228188.0,201954967.0
entity00351579_udf_CF_2019328115811108_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치금융자산의 처분,"Proceeds from sales of financial assets at fair value through profit or loss, mandatorily measured at fair value",현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치금융자산의 처분,1500000000.0,333666436.0,
entity00351579_udf_CF_202032612018571_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치금융자산의 처분,Proceeds from sales of financial assets measured at fair value through other comprehensive income,현금흐름표 [abstract],투자활동현금흐름,기타포괄손익-공정가치금융자산의 처분,483668340.0,,
dart_ProceedsFromSalesOfFinancialInstruments,파생금융상품의 처분,Proceeds from sales of financial derivatives,현금흐름표 [abstract],투자활동현금흐름,파생금융상품의 처분,2006073.0,,
dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,매도가능금융자산의 처분,Proceeds from sales of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,매도가능금융자산의 처분,,1238720749.0,9799650035.0
dart_ProceedsFromSalesOfInvestmentProperty,투자부동산의 처분,Proceeds from sales of investment property,현금흐름표 [abstract],투자활동현금흐름,투자부동산의 처분,,8919000000.0,
dart_ProceedsFromSalesOfInvestmentsInSubsidiaries,종속기업에 대한 투자자산의 처분,Proceeds from sales of investments in subsidiaries,현금흐름표 [abstract],투자활동현금흐름,종속기업에 대한 투자자산의 처분,39652110.0,150738000.0,
dart_ProceedsFromSalesOfInvestmentsInAssociates,관계기업에 대한 투자자산의 처분,Proceeds from sales of investments in associates,현금흐름표 [abstract],투자활동현금흐름,관계기업에 대한 투자자산의 처분,,,80000000.0
dart_ProceedsFromSalesOfOfficeEquipment,사무용비품의 처분,Proceeds from sales of office equipment,현금흐름표 [abstract],투자활동현금흐름,사무용비품의 처분,3001.0,230228911.0,2511199.0
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 처분,250000000.0,,
dart_ProceedsFromSalesOfVehicles,차량운반구의 처분,Proceeds from sales of vehicles,현금흐름표 [abstract],투자활동현금흐름,차량운반구의 처분,,,7272728.0
ifrs-full_OtherInflowsOutflowsOfCashClassifiedAsInvestingActivities,현금의기타유입(유출),Other inflows (outflows) of cash,현금흐름표 [abstract],투자활동현금흐름,현금의기타유입(유출),,405023600.0,150000.0
entity00351579_udf_CF_2019328113022195_CashFlowsFromUsedInInvestingActivities,기타보증금의 감소,Decrease in other security deposit,현금흐름표 [abstract],투자활동현금흐름,기타보증금의 감소,-572210000.0,-37745200.0,259276400.0
entity00351579_udf_CF_201832710854456_CashFlowsFromUsedInInvestingActivities,임대보증금의증가,Increase in security deposit,현금흐름표 [abstract],투자활동현금흐름,임대보증금의증가,,-493620000.0,1044080000.0
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,임차보증금의 감소,32495580.0,130176000.0,543880000.0
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 취득,5990000000.0,32697201040.0,71662461393.0
