"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,3945927058.0,2703219830.0,4050806273.0
dart_ProfitLossForStatementOfCashFlows,당기순이익(손실),Profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익(손실),-3025656762.0,-2016464895.0,753041623.0
ifrs-full_AdjustmentsForReconcileProfitLoss,조정,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,조정,5935278310.0,3204765139.0,2944445688.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,순운전자본의 변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,순운전자본의 변동,644967759.0,1370639343.0,355844716.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취,452658023.0,140305292.0,41173063.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급,Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급,36717532.0,2709589.0,
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세 환급(납부),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세 환급(납부),24602740.0,-6684540.0,43698817.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-325433334.0,-14337955116.0,-661236153.0
entity00367604_udf_CF_2017111165833750_CashFlowsFromUsedInInvestingActivities,단기투자자산의 감소,Decrease in short-term investment assets,현금흐름표 [abstract],투자활동현금흐름,단기투자자산의 감소,3345898434.0,2000000000.0,18834148532.0
