"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,-1299747613.0,7443528151.0,10624707897.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업에서 창출된 현금흐름,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업에서 창출된 현금흐름,5910681640.0,8676624881.0,11914178988.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취,193886910.0,160383200.0,142524589.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급,Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급,212424293.0,,
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부,Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부,7191891870.0,1393479930.0,1431995680.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-22402206146.0,-12223335983.0,-5287730522.0
dart_PurchaseOfOtherCurrentFinancialAssets,기타유동금융자산의 취득,Purchase of other current financial assets,현금흐름표 [abstract],투자활동현금흐름,기타유동금융자산의 취득,854859200.0,1535092434.0,1664455961.0
dart_ProceedsFromSalesOfOtherCurrentFinancialAssets,기타유동금융자산의 처분,Proceeds from sales of other current financial assets,현금흐름표 [abstract],투자활동현금흐름,기타유동금융자산의 처분,987548439.0,2024430623.0,1617778536.0
dart_PurchaseOfOtherNonCurrentFinancialAssets,기타비유동금융자산의 취득,Purchase of other non-current financial assets,현금흐름표 [abstract],투자활동현금흐름,기타비유동금융자산의 취득,1863516200.0,3327718609.0,283937200.0
