"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,,,-7509885691.0,-1864155172.0,-8647421307.0
entity00367695_udf_CF_2019530104239607_CashFlowsFromUsedInOperatingActivities,영업활동으로부터 창출된 현금흐름,Cash flows generated from operating activities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로부터 창출된 현금흐름,,-6534227129.0,-1163454104.0,-8525101921.0
entity00367695_udf_CF_2019530104311329_CashFlowsFromUsedInOperatingActivities,이자의 수취,Receiving interest,현금흐름표 [abstract],영업활동으로 인한 현금흐름,이자의 수취,,158761048.0,25995430.0,
entity00367695_udf_CF_2019530104324512_CashFlowsFromUsedInOperatingActivities,이자의 지급,payment of interest,현금흐름표 [abstract],영업활동으로 인한 현금흐름,이자의 지급,,-1019116460.0,-644509617.0,-122319386.0
entity00367695_udf_CF_2019530104335584_CashFlowsFromUsedInOperatingActivities,법인세의 납부,payment of corporate tax,현금흐름표 [abstract],영업활동으로 인한 현금흐름,법인세의 납부,,-115303150.0,-82186881.0,
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,,,-15853045899.0,-6486632296.0,189314423.0
entity00367695_udf_CF_2018525154450375_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금유입액,Cash inflows due to investment activities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,,6606423427.0,3351069406.0,4935163475.0
entity00367695_udf_CF_201852515485326_udf_CF_2018525154450375_CashFlowsFromUsedInInvestingActivities,단기대여금의 회수,the recovery of short-term loans,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,단기대여금의 회수,1674331440.0,970000000.0,1256000050.0
entity00367695_udf_CF_2018525154752463_udf_CF_2018525154450375_CashFlowsFromUsedInInvestingActivities,단기금융상품의 감소,a reduction in short-term financial instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,단기금융상품의 감소,670560000.0,957812500.0,2217735000.0
entity00367695_udf_CF_201852515485702_udf_CF_2018525154450375_CashFlowsFromUsedInInvestingActivities,투자증권의 처분,Disposal of available-for-sale securities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,투자증권의 처분,3875315787.0,,310306128.0
entity00367695_udf_CF_2020327102258336_udf_CF_2018525154450375_CashFlowsFromUsedInInvestingActivities,금융자산의 처분,disposal of financial assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,금융자산의 처분,235006200.0,,
entity00367695_udf_CF_201882816173336_udf_CF_2018525154450375_CashFlowsFromUsedInInvestingActivities,임차보증금의 감소,Decrease in lease deposit,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,임차보증금의 감소,139000000.0,74137232.0,22000000.0
entity00367695_udf_CF_2020327102216321_udf_CF_2018525154450375_CashFlowsFromUsedInInvestingActivities,기타보증금의 감소,Decrease in other deposits,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,기타보증금의 감소,12210000.0,1349119674.0,1129122297.0
entity00367695_udf_CF_2018525154629807_CashFlowsFromUsedInInvestingActivities,투자활동으로인한 현금유출액,Cash outflow due to investment activities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로인한 현금유출액,,-22459469326.0,-9837701702.0,-4745849052.0
entity00367695_udf_CF_201852515489823_udf_CF_2018525154629807_CashFlowsFromUsedInInvestingActivities,단기대여금의 증가,an increase in short-term loans,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로인한 현금유출액,단기대여금의 증가,2413754945.0,683212108.0,2046559560.0
entity00367695_udf_CF_2018525154810412_udf_CF_2018525154629807_CashFlowsFromUsedInInvestingActivities,단기금융상품의 증가,an increase in short-term financial instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로인한 현금유출액,단기금융상품의 증가,670560000.0,516000000.0,1349922500.0
entity00367695_udf_CF_202032710241051_udf_CF_2018525154629807_CashFlowsFromUsedInInvestingActivities,금융자산의 취득,acquisition of financial assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로인한 현금유출액,금융자산의 취득,2400000000.0,500003000.0,
entity00367695_udf_CF_2018828162131458_udf_CF_2018525154629807_CashFlowsFromUsedInInvestingActivities,종속기업투자주식의 취득,Acquisition of Subsidiary Investment Shares,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로인한 현금유출액,종속기업투자주식의 취득,,6850000000.0,
entity00367695_udf_CF_202032716544092_udf_CF_2018525154629807_CashFlowsFromUsedInInvestingActivities,유형자산의 취득,Acquisition of tangible assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로인한 현금유출액,유형자산의 취득,16749434381.0,487357734.0,767489790.0
entity00367695_udf_CF_202032716551336_udf_CF_2018525154629807_CashFlowsFromUsedInInvestingActivities,무형자산의 취득,Acquisition of Intangible Assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로인한 현금유출액,무형자산의 취득,2700000.0,,
entity00367695_udf_CF_2018525154817877_udf_CF_2018525154629807_CashFlowsFromUsedInInvestingActivities,임차보증금의 증가,Increase of lease deposit,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로인한 현금유출액,임차보증금의 증가,216800000.0,126000000.0,14528342.0
entity00367695_udf_CF_2020327102613391_udf_CF_2018525154629807_CashFlowsFromUsedInInvestingActivities,기타보증금의 증가,Increase in other guarantees,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로인한 현금유출액,기타보증금의 증가,6220000.0,675128860.0,567348860.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,,23330276493.0,3475695748.0,13611616984.0
entity00367695_udf_CF_2018525155559782_CashFlowsFromUsedInFinancingActivities,재무활동으로인한 현금유입액,Cash inflows due to financial activities,현금흐름표 [abstract],재무활동현금흐름,재무활동으로인한 현금유입액,,47428119650.0,9301997429.0,21871616984.0
entity00367695_udf_CF_2018525155630134_udf_CF_2018525155559782_CashFlowsFromUsedInFinancingActivities,유상증자,a capital increase,현금흐름표 [abstract],재무활동현금흐름,재무활동으로인한 현금유입액,유상증자,17292211090.0,1149997680.0,999999000.0
entity00367695_udf_CF_2018525155655167_udf_CF_2018525155559782_CashFlowsFromUsedInFinancingActivities,단기차입금의 증가,Increase in short-term borrowing,현금흐름표 [abstract],재무활동현금흐름,재무활동으로인한 현금유입액,단기차입금의 증가,5135908560.0,1202712481.0,4775830300.0
