"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,,-14336618398.0,-9417213405.0,5374943244.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업에서 창출된 현금흐름,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업에서 창출된 현금흐름,,-11798034956.0,-8500593480.0,5600126696.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,Interest received,현금흐름표 [abstract],영업활동현금흐름,이자의 수취,,559773397.0,469617499.0,32505997.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 수취,Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세의 수취,,3098356839.0,1386237424.0,257689449.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,,-1771506318.0,-92986471.0,-2618812729.0
entity00536523_udf_CF_201959163914533_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금유입액,Other cash receipts from sales of equity or debt instruments of other,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유입액,,41209728004.0,3290354708.0,518908900.0
entity00536523_udf_CF_20195916392229_udf_CF_201959163914533_CashFlowsFromUsedInInvestingActivities,기타수취채권의 감소,Decrease of receivables,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유입액,기타수취채권의 감소,928666000.0,8782400.0,67756000.0
entity00536523_udf_CF_201959163949778_udf_CF_201959163914533_CashFlowsFromUsedInInvestingActivities,단기금융상품의 감소,Decrease of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유입액,단기금융상품의 감소,40124562326.0,661000000.0,360000000.0
entity00536523_udf_CF_2019119173528895_udf_CF_201959163914533_CashFlowsFromUsedInInvestingActivities,장기금융상품의 감소,Proceeds from sales of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유입액,장기금융상품의 감소,,2614118308.0,
entity00536523_udf_CF_2020324144519692_udf_CF_201959163914533_CashFlowsFromUsedInInvestingActivities,매도가능증권의 처분,Proceeds from sales of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유입액,매도가능증권의 처분,,294000.0,64090000.0
entity00536523_udf_CF_201959163955251_udf_CF_201959163914533_CashFlowsFromUsedInInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유입액,유형자산의 처분,134681496.0,6160000.0,27062900.0
entity00536523_udf_CF_201959163953381_udf_CF_201959163914533_CashFlowsFromUsedInInvestingActivities,무형자산의 처분,Disposition of Intangible Assets,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유입액,무형자산의 처분,21818182.0,,
entity00536523_udf_CF_2019591773372_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금유출액,Other cash payments to acquire equity or debt instruments of other,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유출액,,42981234322.0,3383341179.0,3137721629.0
entity00536523_udf_CF_20195917729668_udf_CF_2019591773372_CashFlowsFromUsedInInvestingActivities,기타수취채권의 증가,Increase of receivables,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유출액,기타수취채권의 증가,1163530000.0,-1325000.0,111951610.0
entity00536523_udf_CF_20195917746836_udf_CF_2019591773372_CashFlowsFromUsedInInvestingActivities,단기금융상품의 증가,Increase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유출액,단기금융상품의 증가,40021970000.0,272764652.0,160000000.0
entity00536523_udf_CF_20195917748899_udf_CF_2019591773372_CashFlowsFromUsedInInvestingActivities,장기금융상품의 증가,Increase of Long term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유출액,장기금융상품의 증가,133850000.0,1156873656.0,411400000.0
entity00536523_udf_CF_2019119173726805_udf_CF_2019591773372_CashFlowsFromUsedInInvestingActivities,관계기업투자주식의 취득,Purchase of investments in associates,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유출액,관계기업투자주식의 취득,,100000000.0,200000000.0
entity00536523_udf_CF_20195917752338_udf_CF_2019591773372_CashFlowsFromUsedInInvestingActivities,유형자산의 증가,"Increase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유출액,유형자산의 증가,1281303052.0,987005716.0,1173410491.0
entity00536523_udf_CF_20195917754516_udf_CF_2019591773372_CashFlowsFromUsedInInvestingActivities,무형자산의 증가,Increase of sales of intangible assets,현금흐름표 [abstract],투자활동현금흐름,투자활동으로 인한 현금유출액,무형자산의 증가,380581270.0,868022155.0,1080959528.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,,-3371201282.0,42950015564.0,-2889811470.0
entity00536523_udf_CF_20195917957705_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금유입액,Cash flows from financing activities,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유입액,,1632346349.0,60756141858.0,8286248566.0
entity00536523_udf_CF_201959171026579_udf_CF_20195917957705_CashFlowsFromUsedInFinancingActivities,단기차입금의 차입,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유입액,단기차입금의 차입,1632346349.0,6027691858.0,6951248566.0
entity00536523_udf_CF_201959171028547_udf_CF_20195917957705_CashFlowsFromUsedInFinancingActivities,정부보조금의 수령,Proceeds from government grants,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유입액,정부보조금의 수령,,1160000000.0,1335000000.0
entity00536523_udf_CF_201911917386393_udf_CF_20195917957705_CashFlowsFromUsedInFinancingActivities,유상증자,issue new stock,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유입액,유상증자,,53568450000.0,
entity00536523_udf_CF_20195917959891_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금유출액,Cash flows Used in financing activities,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유출액,,5003547631.0,17806126294.0,11176060036.0
entity00536523_udf_CF_201959171037810_udf_CF_20195917959891_CashFlowsFromUsedInFinancingActivities,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유출액,단기차입금의 상환,3051758550.0,11473899837.0,9437216900.0
entity00536523_udf_CF_201959171041515_udf_CF_20195917959891_CashFlowsFromUsedInFinancingActivities,유동성장기부채의 상환,Repayments of Liquid long term borrowings,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유출액,유동성장기부채의 상환,599920000.0,3201050000.0,771800000.0
entity00536523_udf_CF_202032414577484_udf_CF_20195917959891_CashFlowsFromUsedInFinancingActivities,장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유출액,장기차입금의 상환,,2292890000.0,
entity00536523_udf_CF_201959171044824_udf_CF_20195917959891_CashFlowsFromUsedInFinancingActivities,이자의 지급,Interest paid,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유출액,이자의 지급,27297082.0,329620457.0,365867505.0
entity00536523_udf_CF_201959171051864_udf_CF_20195917959891_CashFlowsFromUsedInFinancingActivities,배당금의 지급,Dividends paid,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유출액,배당금의 지급,487500000.0,390000000.0,390000000.0
entity00536523_udf_CF_2020324145710288_udf_CF_20195917959891_CashFlowsFromUsedInFinancingActivities,정부보조금의 상환,Repayment for government grants classified as financing activities,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유출액,정부보조금의 상환,63393429.0,118666000.0,211175631.0
entity00536523_udf_CF_201959171053728_udf_CF_20195917959891_CashFlowsFromUsedInFinancingActivities,리스부채의 상환,repayment of lease liabilities,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유출액,리스부채의 상환,773678570.0,,
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,,18974092.0,-25937191.0,-184723484.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금의 증가,Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금의 증가,,,-19460351906.0,33413878497.0,-318404439.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초의 현금,,,49064978620.0,15651100123.0,15969504562.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말의 현금,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말의 현금,,,29604626714.0,49064978620.0,15651100123.0
