"[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,44813998850.0,34614738543.0,35993547523.0
dart_NetCashflowsFromUsedInOperations,영업에서 창출된 현금,Net cash flows from used in operations,현금흐름표 [abstract],영업활동현금흐름,영업에서 창출된 현금,54360047904.0,44763481686.0,43442158835.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취(영업),Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취(영업),1685489180.0,859384915.0,681141572.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급(영업),4314919746.0,2935019474.0,2488688988.0
dart_IncomeTaxesPaidClassifiedAsOperatingActivities,법인세납부(영업),Income taxes paid classified as operating activities,현금흐름표 [abstract],영업활동현금흐름,법인세납부(영업),6916618488.0,8073108584.0,5641063896.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-91338375787.0,-90634967063.0,-38081816261.0
dart_ProceedsFromSalesOfFinancialInstruments,금융상품의 처분,Proceeds from sales of financial instruments,현금흐름표 [abstract],투자활동현금흐름,금융상품의 처분,10720428346.0,851600000.0,1033750000.0
dart_ProceedsFromSalesOfLoansAndReceivables,대여금및수취채권의 처분,Proceeds from sales of loans and receivables,현금흐름표 [abstract],투자활동현금흐름,대여금및수취채권의 처분,6992406800.0,1912208665.0,
entity00366942_udf_CF_2019111294436764_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치측정금융자산의 처분,decrease in financial assets measured at fair value through other comprehensive income,현금흐름표 [abstract],투자활동현금흐름,기타포괄손익-공정가치측정금융자산의 처분,25092731422.0,,731250000.0
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,임차보증금의 감소,223873889.0,123077637.0,901532872.0
