"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,-2435579665.0,-1324743406.0,247466565.0
entity00186452_udf_CF_2018810153910868_CashFlowsFromUsedInOperatingActivities,영업으로부터창출된현금,Profit (loss) and Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,영업으로부터창출된현금,-2296500191.0,-1157539100.0,771258224.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취(영업),Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취(영업),155204047.0,45681859.0,63740114.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급(영업),278899521.0,204967635.0,598876803.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취(영업),Dividends received,현금흐름표 [abstract],영업활동현금흐름,배당금수취(영업),420000.0,420000.0,5230000.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),15804000.0,8338530.0,-6115030.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-17176122499.0,960123142.0,-7185600852.0
entity00186452_udf_CF_2018810155613557_CashFlowsFromUsedInInvestingActivities,1. 투자활동으로인한현금유입액,1.CashFlowsFromUsedInInvestingActivities,현금흐름표 [abstract],투자활동현금흐름,1. 투자활동으로인한현금유입액,54778752288.0,17350990848.0,3239763832.0
entity00186452_udf_CF_2018810155530749_CashFlowsFromUsedInInvestingActivities,금융기관예치금의 감소,Due from Financial Institutions,현금흐름표 [abstract],투자활동현금흐름,금융기관예치금의 감소,51770462987.0,12425104563.0,3159070574.0
