"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,,-1836428153.0,5812720493.0,-1757353500.0
dart_ProfitLossForStatementOfCashFlows,당기순이익(손실),Profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익(손실),,19891299142.0,4790078153.0,4106165656.0
ifrs-full_AdjustmentsForReconcileProfitLoss,당기순이익조정을 위한 가감,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,,-10097714326.0,8897606827.0,3035612091.0
ifrs-full_AdjustmentsForIncomeTaxExpense,법인세비용,Adjustments for income tax expense,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,법인세비용,7777860779.0,2860018359.0,2627706315.0
dart_AdjustmentsForProvisionForSeveranceIndemnities,퇴직급여,Adjustments for provision for severance indemnities,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,퇴직급여,2160023440.0,1649722587.0,1334711492.0
dart_AdjustmentsForDepreciationExpense,감가상각비,Adjustments for depreciation expense,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,감가상각비,2523941199.0,2240685634.0,1294833972.0
entity00240857_udf_CF_20203915391419_AdjustmentsForReconcileProfitLoss,사용권자산상각비,Adjustments for depreciation of right-of-use asset,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,사용권자산상각비,1655493773.0,,
dart_AdjustmentsForBadDebtExpenses,대손상각비,Adjustments for bad debt expenses,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,대손상각비,-123427642.0,-229790733.0,407601974.0
dart_AdjustmentsForAmortisationExpense,무형자산상각비,Adjustments for amortisation expense,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,무형자산상각비,235911031.0,242571217.0,124324865.0
dart_AdjustmentsForOtherBadDebtExpenses,기타의 대손상각비,Adjustments for other bad debt expenses,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,기타의 대손상각비,-104439832.0,-16569823.0,451800636.0
dart_AdjustmentsForLossesOnForeignExchangeTranslations,외화환산손실,Adjustments for losses on foreign exchange translations,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,외화환산손실,36370958.0,15040259.0,55465745.0
dart_AdjustmentsForLossesOnDispositionOfPropertyPlantAndEquipment,유형자산처분손실,Adjustments for losses on disposition of property plant and equipment,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,유형자산처분손실,1941646.0,75101.0,9000.0
dart_AdjustmentsForInterestExpenses,이자비용,Adjustments for Interest expenses,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,이자비용,1598014981.0,1260648420.0,1588351392.0
dart_AdjustmentsForLossesOnEvaluationOfFairValueFinancialAssets,당기손익-공정가치측정 금융자산 평가손실,Adjustments for losses on evaluation of fair value financial assets,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,당기손익-공정가치측정 금융자산 평가손실,39647910.0,143689848.0,30926.0
dart_AdjustmentsForLossesOnDisposalsOfReceivables,매출채권처분손실,Adjustments for losses on disposals of receivables,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,매출채권처분손실,6178556.0,275111.0,
dart_AdjustmentsForImpairmentLossesOfIntangibleAssets,무형자산손상차손,Adjustments for impairment losses of intangible assets,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,무형자산손상차손,356979630.0,2319220148.0,810829421.0
dart_AdjustmentsForLossesOnEvaluationOfDerivativeFinancialAssets,파생금융자산평가손실,Adjustments for losses on evaluation of derivative financial assets,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,파생금융자산평가손실,152040026.0,,
dart_AdjustmentsForLossesOnEvaluationOfDerivativeFinancialLiabilities,파생금융상품평가손실,Adjustments for losses on evaluation of derivative financial liabilities,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,파생금융상품평가손실,30804161.0,134459590.0,203262066.0
dart_AdjustmentsForLossesOnDisposalsOfIntangibleAssets,무형자산처분손실,Adjustments for losses on disposals of intangible assets,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,무형자산처분손실,,500000.0,
dart_AdjustmentsForLossesOnDisposalsofInvestmentsInAssociates,매도가능증권처분손실,Adjustments for losses on sales of available-for-sale financial assets,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,매도가능증권처분손실,,84205551.0,
dart_AdjustmentsForImpairmentLossesOnAvailableForSaleFinancialAssets,매도가능증권손상차손,Adjustments for impairment losses on available-for-sale financial assets,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,매도가능증권손상차손,,518284437.0,550000000.0
dart_AdjustmentsForGainOnForeignExchangeTranslations,외화환산이익,Adjustments for gain on foreign exchange translations,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,외화환산이익,82925174.0,18772618.0,39313902.0
dart_AdjustmentsForProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Adjustments for profits of associates and joint ventures accounted for using equity method,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,지분법이익,4482678759.0,1504181249.0,2447613401.0
dart_AdjustmentsForGainsOnEvaluationOfFairValueFinancialAssets,당기손익-공정가치측정 금융자산 평가이익,Adjustments for gains on evaluation of fair value financial assets,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,당기손익-공정가치측정 금융자산 평가이익,273677325.0,339200428.0,
entity00240857_udf_CF_202033102518816_AdjustmentsForReconcileProfitLoss,당기손익-공정가치측정 금융자산 처분이익,Adjustments for gains on disposal of fair value financial assets,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,당기손익-공정가치측정 금융자산 처분이익,-2670803.0,,
entity00240857_udf_CF_202032715171411_AdjustmentsForReconcileProfitLoss,매도가능증권처분이익,Adjustments for gains on disposals of available-for-sale,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,매도가능증권처분이익,,,-1346452063.0
dart_AdjustmentsForGainOnDispositionOfTangibleAssets,유형자산처분이익,Adjustments for gain on disposition of tangible assets,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,유형자산처분이익,34055822.0,16881882.0,1254303237.0
dart_AdjustmentsForGainsOnDisposalsOfIntangibleAssets,무형자산처분이익,Adjustments for gains on disposals of intangible assets,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,무형자산처분이익,,146613491.0,
entity00240857_udf_CF_2020226161543952_AdjustmentsForReconcileProfitLoss,배당금수익,adjustments for dividends,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,배당금수익,146379390.0,268020000.0,
dart_AdjustmentsForInterestIncome,이자수익,Adjustments for interest income,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,이자수익,281964929.0,118958328.0,278138686.0
dart_AdjustmentsForGainsOnEvaluationOfDerivativeFinancialLiabilities,파생금융부채평가이익,Adjustments for gains on evaluation of derivative financial liabilities,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,파생금융부채평가이익,44292300.0,128048356.0,
dart_AdjustmentsForReturnedGoodsExpenses,반품추정비환입,Adjustments for reversal of returnedgoods,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,반품추정비환입,400426902.0,-213986151.0,
dart_AdjustmentsForReversalsOfImpairmentLossesOnIntangibleAssets,무형자산손상차손환입,Adjustments for reversals of impairment losses on intangible assets,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,무형자산손상차손환입,,2000000.0,
dart_AdjustmentsForGainsOnDisposalsOfInvestmentsInAssociates,관계기업투자처분이익,Adjustments for gains on disposals of investments in associates,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,관계기업투자처분이익,21675174107.0,,1049455742.0
