"[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,,-7786942742.0,-8738700257.0,14469900886.0
dart_NetCashflowsFromUsedInOperations,영업에서 창출된 현금흐름,Net cash flows from used in operations,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업에서 창출된 현금흐름,-6955997424.0,-8343064395.0,15873212373.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [abstract],영업활동으로 인한 현금흐름,이자수취,90952373.0,84476621.0,44432967.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급,Interest paid,현금흐름표 [abstract],영업활동으로 인한 현금흐름,이자지급,765254625.0,585201502.0,515235894.0
dart_IncomeTaxesPaidClassifiedAsOperatingActivities,법인세환급(납부),Income taxes paid classified as operating activities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,법인세환급(납부),156643066.0,-105089019.0,932508560.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,,4105554968.0,-1551488445.0,-14498538438.0
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 감소,Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,단기금융상품의 감소,684813566.0,1564370534.0,997484410.0
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 증가,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,단기금융상품의 증가,,,10471590367.0
dart_PurchaseOfAvailableForSaleFinancialAssets,매도가능금융자산의 증가,Purchase of available-for-sale financial assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,매도가능금융자산의 증가,,,679756800.0
dart_DecreaseInLoans,대여금의 감소,Decrease in loans,현금흐름표 [abstract],투자활동으로 인한 현금흐름,대여금의 감소,,300000000.0,
entity00813389_udf_CF_202032512155243_CashFlowsFromUsedInInvestingActivities,주임종단기채권의 감소,"Decrease in Sort-term borrowings from stockholders, executives and employees",현금흐름표 [abstract],투자활동으로 인한 현금흐름,주임종단기채권의 감소,,,1966999.0
dart_ProceedsFromSalesOfInvestmentProperty,투자부동산의 처분,Proceeds from sales of investment property,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자부동산의 처분,,5000000.0,
ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,정부보조금의 수령,Proceeds from government grants,현금흐름표 [abstract],투자활동으로 인한 현금흐름,정부보조금의 수령,6063720000.0,695000000.0,1069415000.0
dart_ProceedsFromSalesOfMachinery,측정기구의 처분,Proceeds from sales of machinery,현금흐름표 [abstract],투자활동으로 인한 현금흐름,측정기구의 처분,,2000.0,
dart_ProceedsFromSalesOfOtherIntangibleAssets,회원권의 처분,Proceeds from sales of other intangible assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,회원권의 처분,,250000000.0,
dart_PurchaseOfFairValueFinancialAsset,당기손익-공정가치금융자산의 증가,Purchase of fair value financial asset,현금흐름표 [abstract],투자활동으로 인한 현금흐름,당기손익-공정가치금융자산의 증가,-11380000.0,1603230000.0,
