"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,19136102621.0,-13431743070.0,-16427674629.0
entity00480367_udf_CF_20171111114840469_CashFlowsFromUsedInOperatingActivities,영업으로부터 창출된 현금,Cash flows from operating activities,현금흐름표 [abstract],영업활동현금흐름,영업으로부터 창출된 현금,26618751148.0,-7355825897.0,-10181845311.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취,74037321.0,57800190.0,27667265.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급,Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급,7429315962.0,6011950556.0,5787735744.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취,Dividends received,현금흐름표 [abstract],영업활동현금흐름,배당금수취,2740000.0,2740000.0,
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세환급(납부),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세환급(납부),130109886.0,124506807.0,485760839.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-22075918146.0,-55588026150.0,-9288165279.0
entity00480367_udf_CF_20171111115630301_CashFlowsFromUsedInInvestingActivities,기타수취채권의 감소,Decrease in Other current receivables,현금흐름표 [abstract],투자활동현금흐름,기타수취채권의 감소,356866877.0,120739390.0,446129445.0
dart_ProceedsFromSalesOfOtherFinancialAssets,기타금융자산의 감소,Proceeds from sales of other financial assets,현금흐름표 [abstract],투자활동현금흐름,기타금융자산의 감소,5167141606.0,1129763207.0,2000000.0
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,53809070.0,42371800.0,849543889.0
ifrs-full_CashReceiptsFromFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,통화선도의 정산(유입),"Cash receipts from future contracts, forward contracts, option contracts and swap contracts",현금흐름표 [abstract],투자활동현금흐름,통화선도의 정산(유입),73165789.0,115632531.0,593322666.0
entity00480367_udf_CF_20171111115731989_CashFlowsFromUsedInInvestingActivities,기타수취채권의 증가,Increase in Other current receivables,현금흐름표 [abstract],투자활동현금흐름,기타수취채권의 증가,342725000.0,45209448.0,278576059.0
dart_PurchaseOfOtherFinancialAssets,기타금융자산의 증가,Purchase of other financial assets,현금흐름표 [abstract],투자활동현금흐름,기타금융자산의 증가,23235070200.0,2488322840.0,2189071631.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,3420485451.0,54158975999.0,1722794259.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,98231000.0,17440000.0,67760000.0
ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,종속기업투자주식의 취득,Cash flows used in obtaining control of subsidiaries or other businesses,현금흐름표 [abstract],투자활동현금흐름,종속기업투자주식의 취득,,,6553113466.0
ifrs-full_CashPaymentsForFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,통화선도의 정산(유출),"Cash payments for future contracts, forward contracts, option contracts and swap contracts",현금흐름표 [abstract],투자활동현금흐름,통화선도의 정산(유출),630389837.0,286584791.0,367845864.0
