"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,,-12805381960.0,-5107972185.0,13525967799.0
entity00618410_udf_CF_2020228114540174_CashFlowsFromUsedInOperatingActivities,영업으로부터 창출된 현금,cash generated from operations,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업으로부터 창출된 현금,-12668543100.0,-3344001260.0,17692808170.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [abstract],영업활동으로 인한 현금흐름,이자수취,7778932.0,513695442.0,168201423.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급,Interest paid,현금흐름표 [abstract],영업활동으로 인한 현금흐름,이자지급,146116441.0,2445570777.0,3369953806.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세 환급(납부),Income taxes paid (refund),현금흐름표 [abstract],영업활동으로 인한 현금흐름,법인세 환급(납부),-1498649.0,-167904410.0,965087988.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,,16468315453.0,-31939755349.0,-39864998580.0
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동으로 인한 현금흐름,유형자산의 처분,152580800.0,,1180879228.0
entity00618410_udf_CF_202022811551836_CashFlowsFromUsedInInvestingActivities,비유동기타수취채권의 감소,Decrease in non-current receivables,현금흐름표 [abstract],투자활동으로 인한 현금흐름,비유동기타수취채권의 감소,,101352126.0,474790000.0
dart_ProceedsFromSalesOfOtherCurrentFinancialAssets,유동기타금융상품의 감소,Proceeds from sales of other current financial assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,유동기타금융상품의 감소,22688300443.0,,
ifrs-full_CashReceiptsFromFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,파생상품거래로 인한 현금유입,"Cash receipts from future contracts, forward contracts, option contracts and swap contracts",현금흐름표 [abstract],투자활동으로 인한 현금흐름,파생상품거래로 인한 현금유입,,,324690423.0
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,무형자산의 처분,,134545455.0,41818182.0
ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,정부보조금의 증가,Proceeds from government grants,현금흐름표 [abstract],투자활동으로 인한 현금흐름,정부보조금의 증가,,,308300000.0
entity00618410_udf_CF_2020228115545803_CashFlowsFromUsedInInvestingActivities,단기대여금의 회수,recovery of short-term loans,현금흐름표 [abstract],투자활동으로 인한 현금흐름,단기대여금의 회수,,920772076.0,25156744712.0
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동으로 인한 현금흐름,임차보증금의 감소,362100000.0,,
dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,기타포괄손익인식금융자산의 감소,Proceeds from sales of available-for-sale financial assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,기타포괄손익인식금융자산의 감소,44758570.0,,303524060.0
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 감소,Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,단기금융상품의 감소,320570266.0,,
dart_ProceedsFromSalesOfOtherFinancialAssets,기타보증금의 감소,Proceeds from sales of other financial assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,기타보증금의 감소,84440000.0,,
dart_ProceedsFromSalesOfOtherIntangibleAssets,보험상품자산의 해지,Proceeds from sales of other intangible assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,보험상품자산의 해지,538094240.0,,51906842.0
dart_PurchaseOfOtherFinancialAssets,기타금융자산의 취득,Purchase of other financial assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,기타금융자산의 취득,,,235629639.0
dart_PurchaseOfOtherCurrentFinancialAssets,유동기타금융상품의 증가,Increase in other floating financial instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,유동기타금융상품의 증가,,28968881750.0,
dart_PurchaseOfAvailableForSaleFinancialAssets,매도가능금융자산의 취득,Purchase of available-for-sale financial assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,매도가능금융자산의 취득,,,344759791.0
ifrs-full_CashPaymentsForFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,파생상품거래로 인한 현금유출,"Cash payments for future contracts, forward contracts, option contracts and swap contracts",현금흐름표 [abstract],투자활동으로 인한 현금흐름,파생상품거래로 인한 현금유출,,,23915423.0
dart_PurchaseOfShortTermLoansAndReceivables,단기대여금의 증가,Purchase of short-term loans and receivables,현금흐름표 [abstract],투자활동으로 인한 현금흐름,단기대여금의 증가,,3652238958.0,29907161040.0
dart_IncreaseInGuaranteeDeposits,임차보증금의 증가,Increase in guarantee deposits,현금흐름표 [abstract],투자활동으로 인한 현금흐름,임차보증금의 증가,2507100000.0,,
entity00618410_udf_CF_202031695041730_CashFlowsFromUsedInInvestingActivities,비유동보험상품자산의 증가,Increase in non-current insurance product assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,비유동보험상품자산의 증가,,84832172.0,
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동으로 인한 현금흐름,유형자산의 취득,5215428866.0,-127980000.0,36155975908.0
