"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업으로 인한 현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업으로 인한 현금흐름,,4235360406.0,18168559496.0,-15753955925.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업으로부터 창출된 현금,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업으로 인한 현금흐름,영업으로부터 창출된 현금,9194083858.0,25439851698.0,-11785533715.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,Interest received,현금흐름표 [abstract],영업으로 인한 현금흐름,이자의 수취,201264515.0,120477016.0,597531764.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,Interest paid,현금흐름표 [abstract],영업으로 인한 현금흐름,이자의 지급,1179410009.0,1056396873.0,632007555.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부,Income taxes paid (refund),현금흐름표 [abstract],영업으로 인한 현금흐름,법인세납부,3980577958.0,6335372345.0,3933946419.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,,-958977107.0,-17768452440.0,-14210281394.0
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 감소,Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,단기금융상품의 감소,34458888.0,139532783.0,954295000.0
dart_ProceedsFromSalesOfShortTermLoansAndReceivables,단기대여금의 회수,Proceeds from sales of short-term loans and receivables,현금흐름표 [abstract],투자활동으로 인한 현금흐름,단기대여금의 회수,25844438.0,10000000.0,447822846.0
entity00599285_udf_CF_201932713393885_CashFlowsFromUsedInInvestingActivities,공정가치측정금융자산의 감소,Proceeds from at fair value through other comprehensive income,현금흐름표 [abstract],투자활동으로 인한 현금흐름,공정가치측정금융자산의 감소,42722560412.0,25298620401.0,
dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,매도가능금융자산의 감소,Proceeds from sales of available-for-sale financial assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,매도가능금융자산의 감소,,,280000000.0
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동으로 인한 현금흐름,유형자산의 처분,3301636.0,35667558.0,68520886.0
