"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00913689_udf_CF_201711120473766_StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,-,현금흐름표 [abstract],영업활동으로 인한 현금흐름,,,24059818470.0,30834049573.0,7968336392.0
entity00913689_udf_CF_201988114549489_udf_CF_201711120473766_StatementOfCashFlowsAbstract,(1)당기순이익(손실).,Net Income (Loss).,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(1)당기순이익(손실).,,21123931735.0,31796978590.0,-2715106710.0
entity00913689_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,(2)당기순이익(손실) 조정을 위한 가감,Decrease to adjust profit or loss,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,,9747346770.0,2314677952.0,11172528726.0
entity00913689_udf_CF_201988114927609_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,법인세비용(수익),Income tax expense (revenue),현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,법인세비용(수익),5608990562.0,6645719311.0,-726395941.0
entity00913689_udf_CF_201988114929265_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,이자비용,Interest expense,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,이자비용,133889886.0,413434560.0,425866362.0
entity00913689_udf_CF_201988114930841_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,이자수익,Interest income,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,이자수익,-93671782.0,-155051588.0,-153545156.0
entity00913689_udf_CF_201988114932473_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,감가상각비.,Depreciation,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,감가상각비.,11383481681.0,6326134717.0,4771166228.0
entity00913689_udf_CF_201988114935313_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,리스자산감가상각비.,Depreciation on lease assets.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,리스자산감가상각비.,417723995.0,,
entity00913689_udf_CF_201988114937899_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,무형자산상각비.,Amortization expense on intangible assets,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,무형자산상각비.,149422534.0,64079387.0,60321120.0
entity00913689_udf_CF_201988114939673_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,퇴직급여.,Retirement Benefits.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,퇴직급여.,840263892.0,607842736.0,889773225.0
entity00913689_udf_CF_201988114941217_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,주식보상비용.,Stock reimbursement costs.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,주식보상비용.,866951493.0,594694062.0,500257125.0
entity00913689_udf_CF_201988114948211_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,대손상각비(환입).,Other bad debt expenses (return),현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,대손상각비(환입).,-215495208.0,558187502.0,-115041036.0
entity00913689_udf_CF_2020322163857268_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,기타의대손상각비(환입).,Other bad debt expenses (return).,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,기타의대손상각비(환입).,-75000000.0,212000000.0,
entity00913689_udf_CF_201988114955113_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,외화환산손실,Foreign currency translation loss,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,외화환산손실,1937900621.0,612367801.0,1435089517.0
entity00913689_udf_CF_2019881149579_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,외화환산이익,Foreign currency translation gain,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,외화환산이익,-317663284.0,-226529468.0,-72478147.0
entity00913689_udf_CF_2020322163945590_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract, 유형자산손상차손.,Tangible asset loss.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감, 유형자산손상차손.,,199300000.0,
entity00913689_udf_CF_20198811500393_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,유형자산처분손실,"Loss on disposal of property, plant and equipment",현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,유형자산처분손실,26249988.0,158488660.0,14003998.0
entity00913689_udf_CF_20198811501993_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,유형자산처분이익,Gain on disposal of tangible assets,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,유형자산처분이익,-31814180.0,-45623142.0,-163312312.0
entity00913689_udf_CF_20198811506313_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,장기금융상품손상차손(환입),Impairment loss on long-term financial instruments,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,장기금융상품손상차손(환입),489618.0,41935014.0,
entity00913689_udf_CF_2020322195523917_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,장기금융상품평가이익.,Long-term financial product valuation gains.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,장기금융상품평가이익.,,,-12708169.0
entity00913689_udf_CF_201988142629383_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,파생상품부채평가손실,Derivative liabilities valuation loss,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,파생상품부채평가손실,,1661250000.0,
entity00913689_udf_CF_202032220142989_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,파생상품부채평가이익.,Derivative liability valuation gains.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,파생상품부채평가이익.,,,-938750000.0
entity00913689_udf_CF_2020322164122517_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,매출채권의 증가.,Increased receivables.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,매출채권의 증가.,11355014079.0,-36576831238.0,1954235660.0
entity00913689_udf_CF_2020322164212501_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,기타채권의 감소(증가).,Decrease (increase) in other bonds.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,기타채권의 감소(증가).,7212271.0,-658307328.0,21000558.0
entity00913689_udf_CF_201988142635550_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,재고자산의 감소(증가),Decrease (increase) of inventory,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,재고자산의 감소(증가),7201555352.0,-12205331556.0,-1026239197.0
entity00913689_udf_CF_2020322164258397_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,기타유동자산의 증가.,Increase in other current assets.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,기타유동자산의 증가.,683724799.0,-4380477595.0,-168633981.0
entity00913689_udf_CF_2020322164327269_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,기타비유동자산의 증가.,Increase in other non-current assets.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,기타비유동자산의 증가.,-1381249215.0,198217222.0,-26925194.0
entity00913689_udf_CF_201988143047384_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,매입채무의 증가(감소),Increase in trade payables,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,매입채무의 증가(감소),-27261395258.0,31764737076.0,5388778912.0
entity00913689_udf_CF_201988143048743_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,기타채무의 증가(감소),Reduction of Other Debt,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,기타채무의 증가(감소),-1042647506.0,6219071588.0,-94258948.0
entity00913689_udf_CF_201988143049975_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,기타유동부채의 증가(감소),Increase (decrease) in other current liabilities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,기타유동부채의 증가(감소),-225317775.0,441593343.0,-157482071.0
entity00913689_udf_CF_2020322164446597_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,기타유동부채의 증가.,Increase in other current liabilities.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,기타유동부채의 증가.,1331193516.0,,
entity00913689_udf_CF_201988143051718_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,퇴직금의 지급,Severance pay,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,퇴직금의 지급,-1137118335.0,-188183540.0,-270606378.0
entity00913689_udf_CF_201988143238831_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,사외적립자산의 증가,Increase in plan assets,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,사외적립자산의 증가,-415344974.0,-221655716.0,-480325716.0
entity00913689_udf_CF_20191111172916510_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,장기투자자산평가손실,Long-term investment valuation loss,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,장기투자자산평가손실,,253616144.0,
entity00913689_udf_CF_202032219586253_udf_CF_20171113105048475_udf_CF_201711120473766_StatementOfCashFlowsAbstract,해외사업환산차이.,Difference in foreign business translation.,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(2)당기순이익(손실) 조정을 위한 가감,해외사업환산차이.,,,118738267.0
entity00913689_udf_CF_2017111311635392_udf_CF_201711120473766_StatementOfCashFlowsAbstract,(3)이자의 수취,Interest received,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(3)이자의 수취,,50801878.0,96829020.0,92700575.0
entity00913689_udf_CF_2017111311640727_udf_CF_201711120473766_StatementOfCashFlowsAbstract,(4)이자의 지급,Interest paid,현금흐름표 [abstract],영업활동으로 인한 현금흐름,(4)이자의 지급,,129462255.0,-149653285.0,-157121972.0
entity00913689_udf_CF_2017111311639658_udf_CF_201711120473766_StatementOfCashFlowsAbstract,(5)법인세의 납부,Income taxes paid (refund),현금흐름표 [abstract],영업활동으로 인한 현금흐름,(5)법인세의 납부,,-6991724168.0,-3224782704.0,-424664227.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,,-63798945417.0,-27817869004.0,-4918813785.0
entity00913689_udf_CF_201988143416654_CashFlowsFromUsedInInvestingActivities,단기금융상품의 감소,Reduction of Short-term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 감소,,8279608890.0,33174673174.0,37739035635.0
entity00913689_udf_CF_201988143433182_CashFlowsFromUsedInInvestingActivities,단기금융상품의 증가,Increase in Short-term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 증가,,-6740468801.0,-30338581357.0,-36251500000.0
entity00913689_udf_CF_201988143434687_CashFlowsFromUsedInInvestingActivities,기타채권의 감소,Reduction of Other Bonds,현금흐름표 [abstract],투자활동현금흐름,기타채권의 감소,,2197824242.0,23236965.0,46135345.0
entity00913689_udf_CF_201988143436302_CashFlowsFromUsedInInvestingActivities,기타채권의 증가,Increase in Other Bonds,현금흐름표 [abstract],투자활동현금흐름,기타채권의 증가,,-2166500000.0,-11239858.0,
entity00913689_udf_CF_201988143438263_CashFlowsFromUsedInInvestingActivities,장기금융상품의 증가,Increase in Long-term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 증가,,-194030028.0,-193906128.0,-192653428.0
entity00913689_udf_CF_2020322164627966_CashFlowsFromUsedInInvestingActivities,장기금융상품의 감소.,Decrease in long-term financial instruments.,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 감소.,,261168772.0,,
entity00913689_udf_CF_2020322164654597_CashFlowsFromUsedInInvestingActivities,장기기타채권의 감소.,Decrease in long-term other bonds.,현금흐름표 [abstract],투자활동현금흐름,장기기타채권의 감소.,,,1800600.0,498000.0
entity00913689_udf_CF_2020322164656174_CashFlowsFromUsedInInvestingActivities,장기기타채권의 증가.,Increased long-term bonds.,현금흐름표 [abstract],투자활동현금흐름,장기기타채권의 증가.,,-30168000.0,-238229992.0,
entity00913689_udf_CF_20191111173137689_CashFlowsFromUsedInInvestingActivities,장기투자자산의 증가,Increase in long-term investment assets,현금흐름표 [abstract],투자활동현금흐름,장기투자자산의 증가,,-2425000000.0,,
entity00913689_udf_CF_201981394152669_CashFlowsFromUsedInInvestingActivities,사용권자산의 증가,Increase in Licensed Assets,현금흐름표 [abstract],투자활동현금흐름,사용권자산의 증가,,-6565218750.0,,
entity00913689_udf_CF_20198814376904_CashFlowsFromUsedInInvestingActivities,유형자산의 처분.,Disposition of Tangible Assets,현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분.,,2857937268.0,1144943681.0,1341482645.0
entity00913689_udf_CF_201988143616215_CashFlowsFromUsedInInvestingActivities,유형자산의 취득.,"Acquisition of Property, Plant and Equipment.",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득.,,-58072679853.0,-31355699990.0,-7588941949.0
entity00913689_udf_CF_201988143751865_CashFlowsFromUsedInInvestingActivities,무형자산의 취득.,Acquisition of Intangible Assets.,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득.,,-69141652.0,-24866099.0,-12870033.0
entity00913689_udf_CF_20191111173522497_CashFlowsFromUsedInInvestingActivities,연결범위변동으로 인한 순현금유출,Net cash outflows due to changes in the scope of consolidation,현금흐름표 [abstract],투자활동현금흐름,연결범위변동으로 인한 순현금유출,,-1132277505.0,,
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,,59193154618.0,-3056832500.0,-1422740578.0
entity00913689_udf_CF_201988143939767_CashFlowsFromUsedInFinancingActivities,단기차입금의 차입.,Borrowing of short-term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 차입.,,31262003851.0,,
entity00913689_udf_CF_202032216496197_CashFlowsFromUsedInFinancingActivities,단기차입금의 상환.,Repayment of short-term borrowings.,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환.,,-4050000000.0,,
entity00913689_udf_CF_201988144114535_CashFlowsFromUsedInFinancingActivities,장기차입금의 차입.,Borrowings of long-term borrowings.,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 차입.,,7000000000.0,,
entity00913689_udf_CF_201988144116367_CashFlowsFromUsedInFinancingActivities,유동성장기차입금의 상환,Repayment of Current Growth Borrowings,현금흐름표 [abstract],재무활동현금흐름,유동성장기차입금의 상환,,-3256619999.0,-3056832500.0,-1422740578.0
