"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,,,8008968530.0,12429013359.0,-1940830108.0
dart_ProfitLossForStatementOfCashFlows,당기순이익(손실),Profit (loss),현금흐름표 [abstract],영업활동으로 인한 현금흐름,당기순이익(손실),,-3317375884.0,5339651105.0,4089755582.0
ifrs-full_AdjustmentsForReconcileProfitLoss,현금의 유출이 없는 비용등의 가산,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유출이 없는 비용등의 가산,,20554645232.0,22681280713.0,21105325927.0
dart_AdjustmentsForDepreciationExpense,감가상각비,Adjustments for depreciation expense,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유출이 없는 비용등의 가산,감가상각비,11677335904.0,12717568942.0,11471002784.0
dart_AdjustmentsForProvisionForSeveranceIndemnities,퇴직급여,Adjustments for provision for severance indemnities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유출이 없는 비용등의 가산,퇴직급여,1981530780.0,1481976468.0,1218260268.0
dart_AdjustmentsForAmortisationExpense,무형자산상각비,Adjustments for amortisation expense,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유출이 없는 비용등의 가산,무형자산상각비,288100695.0,167236057.0,173813906.0
dart_AdjustmentsForBadDebtExpenses,대손상각비(환입),Adjustments for bad debt expenses,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유출이 없는 비용등의 가산,대손상각비(환입),-1049537415.0,2863792194.0,1351803952.0
entity00625942_udf_CF_2019118173429786_AdjustmentsForReconcileProfitLoss,지급임차료,Provision rent,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유출이 없는 비용등의 가산,지급임차료,,50342994.0,54228840.0
dart_AdjustmentsForInterestExpenses,이자비용,Adjustments for Interest expenses,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유출이 없는 비용등의 가산,이자비용,3496918324.0,3809348831.0,5056028884.0
