"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,Cash flows from (used in) operating activities,ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,,7695483814.0,38190071619.0,376593641592.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업에서 창출된 현금,Adjustments for assets and liabilities of operating activities,ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,영업에서 창출된 현금,50379797659.0,109938372555.0,414767034318.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,Interest received,ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,이자의 수취,9584279036.0,9135667466.0,7459675295.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,Interest paid,ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,이자의 지급,8830400017.0,9488885323.0,10262489002.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금의 수취,Dividends received,ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,배당금의 수취,229334000.0,2820000.0,69635655.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 납부,Income taxes paid (refund),ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,법인세의 납부,43667526864.0,71397903079.0,35440214674.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,Cash flows from (used in) investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,,-77951033220.0,-162564054756.0,-52867691971.0
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,유형자산의 처분,230574921.0,163017706.0,4397843137.0
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,무형자산의 처분,100000000.0,1757575080.0,3465078838.0
dart_ProceedsFromSalesOfFinancialAssetsHeldToMaturity,만기보유금융자산의 처분,Proceeds from sales of financial assets held to maturity,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,만기보유금융자산의 처분,0.0,720000.0,25655000.0
dart_ProceedsFromSalesOfFinancialInstruments,파생금융상품의 처분,Proceeds from sales of financial instruments,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,파생금융상품의 처분,54633129083.0,56114488098.0,63503035305.0
dart_ProceedsFromSalesOfOtherFinancialAssets,기타금융자산의 처분,Proceeds from sales of other financial assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,기타금융자산의 처분,8150996270.0,329907027450.0,29452000000.0
dart_ProceedsFromSalesOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정자산의 처분,Proceeds from sales of non-current assets or disposal groups classified as held for sale,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,매각예정자산의 처분,0.0,0.0,2120000000.0
dart_DecreaseInGuaranteeDeposits,보증금의 감소,Decrease in guarantee deposits,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,보증금의 감소,2061807879.0,941125828.0,2115261917.0
dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익-공정가치측정 금융자산의 처분,Proceeds from sales of fair value financial asset,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,당기손익-공정가치측정 금융자산의 처분,55664347180.0,8957475258.0,0.0
entity00358271_udf_CF_201881391043712_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치측정 금융자산의 처분,Decrease in Current financial assets measured at fair value through other,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,기타포괄손익-공정가치측정 금융자산의 처분,207349171028.0,95696422381.0,0.0
dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,매도가능금융자산의 처분,Proceeds from sales of available-for-sale financial assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,매도가능금융자산의 처분,0.0,0.0,608600000.0
dart_ProceedsFromSalesOfInvestmentProperty,투자부동산의 처분,Proceeds from sales of investment property,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,투자부동산의 처분,0.0,0.0,491846802.0
dart_ProceedsFromSalesOfLoansAndReceivables,기타금융채권의 처분,Proceeds from sales of loans and receivables,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,기타금융채권의 처분,0.0,0.0,19440198573.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,유형자산의 취득,41937594532.0,38144638528.0,82344161156.0
