"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,-293847203.0,2439897827.0,2097035499.0
entity00257149_udf_CF_20191031105026420_CashFlowsFromUsedInOperatingActivities,영업으로부터 창출된 현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,영업으로부터 창출된 현금흐름,-47049967.0,2780658350.0,2455953039.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,Interest received,현금흐름표 [abstract],영업활동현금흐름,이자의 수취,288652572.0,285318344.0,110344314.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자의 지급,16002294.0,,
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 지급,Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세의 지급,519447514.0,626078867.0,469261854.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-73850639906.0,-1988288764.0,8256237991.0
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 감소,Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 감소,20708782900.0,10398000053.0,15451954800.0
dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익-공정가치금융자산의 감소,Proceeds from sales of fair value financial asset,현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치금융자산의 감소,9127726296.0,,
entity00257149_udf_CF_2019103111415301_CashFlowsFromUsedInInvestingActivities,기타금융자산의 감소,Decrease in other financial assets,현금흐름표 [abstract],투자활동현금흐름,기타금융자산의 감소,7364486032.0,3000000.0,
entity00257149_udf_CF_2019103111313804_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치금융자산의 감소,Proceeds from sales of Non-current financial assets measured at fair value through other comprehensive income,현금흐름표 [abstract],투자활동현금흐름,기타포괄손익-공정가치금융자산의 감소,47342367.0,,
