"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,,-4459260953.0,17053038272.0,39083009600.0
dart_ProfitLossForStatementOfCashFlows,당기순이익(손실),Profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익(손실),,1876410972.0,16841766717.0,24341204027.0
ifrs-full_AdjustmentsForReconcileProfitLoss,조정,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,조정,,21852414195.0,19429149568.0,17066377843.0
dart_AdjustmentsForProvisionForSeveranceIndemnities,퇴직급여,Adjustments for provision for severance indemnities,현금흐름표 [abstract],영업활동현금흐름,조정,퇴직급여,2172960072.0,2102262467.0,1225839816.0
entity00484682_udf_CF_202032681539138_AdjustmentsForReconcileProfitLoss,장기종업원급여,Long-term employee benefits,현금흐름표 [abstract],영업활동현금흐름,조정,장기종업원급여,113370163.0,,
dart_AdjustmentsForBadDebtExpenses,대손상각비(환입),Adjustments for bad debt expenses,현금흐름표 [abstract],영업활동현금흐름,조정,대손상각비(환입),607697574.0,109604744.0,-151727020.0
dart_AdjustmentsForOtherBadDebtExpenses,기타의 대손상각비(환입),Adjustments for other bad debt expenses,현금흐름표 [abstract],영업활동현금흐름,조정,기타의 대손상각비(환입),,,13473219.0
dart_AdjustmentsForWritedownsOfInventories,재고자산평가손실,Adjustments for write-downs of inventories,현금흐름표 [abstract],영업활동현금흐름,조정,재고자산평가손실,501438598.0,383899986.0,-407411345.0
dart_AdjustmentsForDepreciationExpense,감가상각비,Adjustments for depreciation expense,현금흐름표 [abstract],영업활동현금흐름,조정,감가상각비,5714413524.0,3114904572.0,3503648289.0
dart_AdjustmentsForAmortisationExpense,무형자산상각비,Adjustments for amortisation expense,현금흐름표 [abstract],영업활동현금흐름,조정,무형자산상각비,2238148050.0,2079880503.0,1801383885.0
dart_AdjustmentsForLossesOnDisposalsOfIntangibleAssets,무형자산처분손실,Adjustments for losses on disposals of intangible assets,현금흐름표 [abstract],영업활동현금흐름,조정,무형자산처분손실,,66000000.0,
dart_AdjustmentsForImpairmentLossesOfIntangibleAssets,무형자산손상차손,Adjustments for impairment losses of intangible assets,현금흐름표 [abstract],영업활동현금흐름,조정,무형자산손상차손,454954682.0,511896853.0,351548903.0
dart_AdjustmentsForLossesOnDispositionOfPropertyPlantAndEquipment,유형자산처분손실,Adjustments for losses on disposition of property plant and equipment,현금흐름표 [abstract],영업활동현금흐름,조정,유형자산처분손실,49065066.0,,162500.0
dart_AdjustmentsForLossesOnAbandonmentOfPropertyPlantAndEquipment,유형자산폐기손실,Adjustments for losses on abandonment of property plant and equipment,현금흐름표 [abstract],영업활동현금흐름,조정,유형자산폐기손실,40854620.0,589582.0,1999720.0
dart_AdjustmentsForGainOnDispositionOfTangibleAssets,유형자산처분이익,Adjustments for gain on disposition of tangible assets,현금흐름표 [abstract],영업활동현금흐름,조정,유형자산처분이익,2050494589.0,83187508.0,12502758.0
dart_AdjustmentsForLossesOnEvaluationOfDerivativeFinancialAssets,파생상품평가손실,Adjustments for losses on evaluation of derivative financial assets,현금흐름표 [abstract],영업활동현금흐름,조정,파생상품평가손실,,879982368.0,
dart_AdjustmentsForGainsOnEvaluationOfInvestments,파생상품평가이익,Adjustments for gains on evaluation of investments,현금흐름표 [abstract],영업활동현금흐름,조정,파생상품평가이익,391987500.0,,1741080000.0
dart_AdjustmentsForGainsOnEvaluationOfFairValueFinancialAssets,당기손익인식금융자산평가이익,Adjustments for gains on evaluation of fair value financial assets,현금흐름표 [abstract],영업활동현금흐름,조정,당기손익인식금융자산평가이익,70090470.0,110172500.0,11646079.0
entity00484682_udf_CF_2019325134352374_AdjustmentsForReconcileProfitLoss,당기손익인식금융자산처분손실,Adjustments for losses on disposals of fair value financial assets,현금흐름표 [abstract],영업활동현금흐름,조정,당기손익인식금융자산처분손실,25255463.0,,8450538.0
entity00484682_udf_CF_201932513433560_AdjustmentsForReconcileProfitLoss,당기손익인식금융자산처분이익,Adjustments for gains on disposals of fair value financial assets,현금흐름표 [abstract],영업활동현금흐름,조정,당기손익인식금융자산처분이익,-5457636.0,-30275568.0,-12612328.0
dart_AdjustmentsForLossesOnDisposalsOfFinancialAssets,기타포괄손익-공정가치금융자산처분손실,Adjustments for losses on disposals of financial assets,현금흐름표 [abstract],영업활동현금흐름,조정,기타포괄손익-공정가치금융자산처분손실,925037.0,5818153.0,
dart_AdjustmentsForImpairmentLossesOfInvestmentAssets,기타포괄손익-공정가치금융자산손상차손환입,Adjustments for impairment losses of investment assets,현금흐름표 [abstract],영업활동현금흐름,조정,기타포괄손익-공정가치금융자산손상차손환입,-155083384.0,-114142790.0,
dart_AdjustmentsForImpairmentLossesOnAvailableForSaleFinancialAssets,기타포괄손익-공정가치금융자산손상차손,Adjustments for impairment losses on available-for-sale financial assets,현금흐름표 [abstract],영업활동현금흐름,조정,기타포괄손익-공정가치금융자산손상차손,,,170142790.0
dart_AdjustmentsForLossesFromRedemptionOfBorrowings,사채상환손실,Adjustments for losses from redemption of borrowings,현금흐름표 [abstract],영업활동현금흐름,조정,사채상환손실,,275606666.0,
dart_AdjustmentsForProductWarrantyExpenses,제품보증비,Adjustments for product warranty expenses,현금흐름표 [abstract],영업활동현금흐름,조정,제품보증비,10532336954.0,7112463873.0,7664054899.0
dart_AdjustmentsForInterestIncome,이자수익,Adjustments for interest income,현금흐름표 [abstract],영업활동현금흐름,조정,이자수익,865344151.0,953877799.0,417701011.0
dart_AdjustmentsForInterestExpenses,이자비용,Adjustments for Interest expenses,현금흐름표 [abstract],영업활동현금흐름,조정,이자비용,551358054.0,30303130.0,375755160.0
dart_AdjustmentsForGainOnForeignExchangeTranslations,외화환산이익,Adjustments for gain on foreign exchange translations,현금흐름표 [abstract],영업활동현금흐름,조정,외화환산이익,153730510.0,167401115.0,28957267.0
dart_AdjustmentsForLossesOnForeignExchangeTranslations,외화환산손실,Adjustments for losses on foreign exchange translations,현금흐름표 [abstract],영업활동현금흐름,조정,외화환산손실,673091618.0,108291393.0,435425409.0
dart_AdjustmentsForShareBasedPayment,주식보상비용(환입),Adjustments for share-based payment,현금흐름표 [abstract],영업활동현금흐름,조정,주식보상비용(환입),1460429394.0,1340922060.0,
ifrs-full_AdjustmentsForIncomeTaxExpense,법인세비용,Adjustments for income tax expense,현금흐름표 [abstract],영업활동현금흐름,조정,법인세비용,408303566.0,2765780498.0,4298130523.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로인한자산ㆍ부채의변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,,-26396341975.0,-13199441724.0,77362242.0
ifrs-full_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,매출채권의 감소(증가),Adjustments for decrease (increase) in trade accounts receivable,현금흐름표 [abstract],영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,매출채권의 감소(증가),-17897972832.0,4334886383.0,-2529023877.0
dart_AdjustmentsForDecreaseincreaseInTradeAndOtherReceivables,기타수취채권의 감소(증가),Adjustments for decrease (increase) in trade and other receivables,현금흐름표 [abstract],영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,기타수취채권의 감소(증가),-275983216.0,-1448165706.0,1756788185.0
ifrs-full_AdjustmentsForDecreaseIncreaseInInventories,재고자산의 감소(증가),Adjustments for decrease (increase) in inventories,현금흐름표 [abstract],영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,재고자산의 감소(증가),-4124492423.0,-2592942264.0,9062739821.0
dart_AdjustmentsForIncreasedecreaseInProvisionsForEmployeeBenefits,종업원급여충당부채의 증가(감소),Adjustments for increase (decrease) in provisions for employee benefits,현금흐름표 [abstract],영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,종업원급여충당부채의 증가(감소),,,
dart_AdjustmentsForDecreaseIncreaseInOtherCurrentAssets,기타유동자산의 감소(증가),Adjustments for decrease (increase) in other current assets,현금흐름표 [abstract],영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,기타유동자산의 감소(증가),-558802177.0,-1247743108.0,-74117341.0
dart_AdjustmentsForDecreaseincreaseInOtherNonCurrentFinancialAssets,기타비유동자산의 증가(감소),Adjustments for increase (decrease) in other non-current  assets,현금흐름표 [abstract],영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,기타비유동자산의 증가(감소),-507264694.0,,
