"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,,,13741260379.0,17598868830.0,8157296209.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업으로부터 창출된 현금흐름,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업으로부터 창출된 현금흐름,,17341405662.0,21362499017.0,11019629826.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,Interest received,현금흐름표 [abstract],영업활동으로 인한 현금흐름,이자의 수취,,500350011.0,257098854.0,73051249.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,Interest paid,현금흐름표 [abstract],영업활동으로 인한 현금흐름,이자의 지급,,1128275070.0,1034835110.0,771375070.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 납부,Income taxes paid (refund),현금흐름표 [abstract],영업활동으로 인한 현금흐름,법인세의 납부,,2972220224.0,2985893931.0,2164009796.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,,,-14420855304.0,-16074617854.0,-16787226590.0
entity00602172_udf_CF_2020329222742803_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금유입,Inflow of cash from investing activities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입,,2481046870.0,1329926837.0,2362573188.0
entity00602172_udf_CF_202032922299547_udf_CF_2020329222742803_CashFlowsFromUsedInInvestingActivities,단기금융상품의 감소,Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입,단기금융상품의 감소,1019474536.0,552196551.0,0.0
entity00602172_udf_CF_2020329222958539_udf_CF_2020329222742803_CashFlowsFromUsedInInvestingActivities,장기금융상품의 감소,Proceeds from sales of long-term financial instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입,장기금융상품의 감소,124136280.0,0.0,0.0
entity00602172_udf_CF_2020329223021499_udf_CF_2020329222742803_CashFlowsFromUsedInInvestingActivities,대여금의 감소,Decrease in loans,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입,대여금의 감소,1253684979.0,288914082.0,1392175604.0
entity00602172_udf_CF_2020329223038883_udf_CF_2020329222742803_CashFlowsFromUsedInInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입,유형자산의 처분,23528791.0,99598482.0,462125533.0
