"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,65163249869.0,10586574238.0,30199583689.0
dart_ProfitLossForStatementOfCashFlows,계속영업반기순이익,Profit (loss),현금흐름표 [abstract],영업활동현금흐름,계속영업반기순이익,5398647998.0,-35260613388.0,-38853888602.0
ifrs-full_AdjustmentsForReconcileProfitLoss,당기순이익조정을 위한 가감,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,66860092369.0,56253641390.0,83096436888.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로인한자산ㆍ부채의변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,4487426416.0,415288965.0,6325063527.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취(영업),Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취(영업),482966127.0,582345494.0,735730389.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급(영업),8964045697.0,8312216158.0,7692706788.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취(영업),Dividends received,현금흐름표 [abstract],영업활동현금흐름,배당금수취(영업),30000000.0,30000000.0,30000000.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),3131837344.0,3121872065.0,7110742193.0
entity00155692_udf_CF_201889113743776_CashFlowsFromUsedInOperatingActivities,중단영업부문 영업활동 현금흐름,Cash flows from (used in) financing activities from discontinued operations,현금흐름표 [abstract],영업활동현금흐름,중단영업부문 영업활동 현금흐름,,,-6330309532.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-23002651995.0,-14381148519.0,29668064678.0
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 취득,525430126.0,-4003398883.0,-5019158113.0
dart_PurchaseOfShortTermLoansAndReceivables,단기대여금및수취채권의 취득,Purchase of short-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,단기대여금및수취채권의 취득,1537500005.0,1648478262.0,600000000.0
dart_ProceedsFromSalesOfShortTermLoansAndReceivables,단기대여금및수취채권의 처분,Proceeds from sales of short-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,단기대여금및수취채권의 처분,1537500005.0,600000000.0,2112750000.0
dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 처분,Proceeds from sales of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 처분,330562285.0,1059781244.0,1674600000.0
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,Purchase of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 취득,180000000.0,40000000.0,457907684.0
dart_PurchaseOfAvailableForSaleFinancialAssets,매도가능금융자산의 취득,Purchase of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,매도가능금융자산의 취득,,,4619400000.0
dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,매도가능금융자산의 처분,Proceeds from sales of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,매도가능금융자산의 처분,,,653464827.0
dart_ProceedsFromSalesOfCurrentFinancialAssetsHeldToMaturity,국공채의 처분,Proceeds from sales of current financial assets held to maturity,현금흐름표 [abstract],투자활동현금흐름,국공채의 처분,12715000.0,9020000.0,735000.0
dart_ProceedsFromSalesOfOtherNonCurrentFinancialAssets,기타포괄손익인식공정가치금융자산의 처분,Proceeds from sales of other non-current financial assets,현금흐름표 [abstract],투자활동현금흐름,기타포괄손익인식공정가치금융자산의 처분,,1066015248.0,
