"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,6861854972.0,7425232160.0,5834833434.0
dart_ProfitLossForStatementOfCashFlows,당기순이익(손실),Profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익(손실),5546481437.0,5558480433.0,6202733164.0
ifrs-full_AdjustmentsForReconcileProfitLoss,조정,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,조정,6163463302.0,5287974754.0,3867025703.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로인한자산ㆍ부채의변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,-1796013774.0,-1463656600.0,-1786477682.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급(영업),1541214560.0,663566017.0,159131920.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취(영업),Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취(영업),133073400.0,39706651.0,151442087.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),1643934833.0,1333707061.0,2440757918.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-7127741223.0,-31661578235.0,-8581755275.0
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 감소,Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 감소,300000000.0,1560000000.0,18220000000.0
entity00531865_udf_CF_202031414538482_CashFlowsFromUsedInInvestingActivities,장기금융상품의 감소,Decrease in long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 감소,0.0,0.0,750000000.0
dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,매도가능금융자산의 처분,Proceeds from sales of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,매도가능금융자산의 처분,0.0,0.0,39785770.0
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,임차보증금의 감소,0.0,2000000.0,16500000.0
entity00531865_udf_CF_2020314145510475_CashFlowsFromUsedInInvestingActivities,기타보증금의 감소,Reduction of other deposits,현금흐름표 [abstract],투자활동현금흐름,기타보증금의 감소,0.0,0.0,6960000.0
entity00531865_udf_CF_2020314145538178_CashFlowsFromUsedInInvestingActivities,장기미수금의 감소,Decrease in long-term accounts receivable,현금흐름표 [abstract],투자활동현금흐름,장기미수금의 감소,0.0,0.0,70000000.0
ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,정부보조금의 수령,Proceeds from government grants,현금흐름표 [abstract],투자활동현금흐름,정부보조금의 수령,88649732.0,81105779.0,8988859.0
