"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,,18169881658.0,20424424512.0,-493878812.0
dart_ProfitLossForStatementOfCashFlows,당기순이익,Profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익,,13911860744.0,16668486257.0,96694231555.0
ifrs-full_AdjustmentsForReconcileProfitLoss,비현금항목의 조정,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,,4266689895.0,2197989871.0,-93707980053.0
ifrs-full_AdjustmentsForIncomeTaxExpense,법인세비용,Adjustments for income tax expense,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,법인세비용,2793490287.0,2307823660.0,2638077481.0
dart_AdjustmentsForInterestExpenses,이자비용,Adjustments for Interest expenses,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,이자비용,6637948.0,0.0,0.0
dart_AdjustmentsForProvisionForSeveranceIndemnities,퇴직급여,Adjustments for provision for severance indemnities,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,퇴직급여,74854632.0,37893064.0,0.0
dart_AdjustmentsForDepreciationExpense,감가상각비,Adjustments for depreciation expense,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,감가상각비,2458253975.0,2157619331.0,1453610909.0
dart_AdjustmentsForAmortisationExpense,무형자산상각비,Adjustments for amortisation expense,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,무형자산상각비,370391814.0,341755171.0,77711632.0
dart_AdjustmentsForBadDebtExpenses,대손상각비,Adjustments for bad debt expenses,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,대손상각비,7920000.0,-13695000.0,0.0
dart_AdjustmentsForLossesOnForeignExchangeTranslations,외화환산손실,Adjustments for losses on foreign exchange translations,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,외화환산손실,309142312.0,18267219.0,13142982.0
dart_AdjustmentsForLossesOnTransactionOfDerivativeFinancialAssets,파생금융자산거래손실,Adjustments for losses on transaction of derivative financial assets,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,파생금융자산거래손실,0.0,51170211.0,64353274.0
entity00411385_udf_CF_20203391221940_AdjustmentsForReconcileProfitLoss,단기매매금융자산평가손실,Losses on valuation of held for trading financial assets,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,단기매매금융자산평가손실,42870000.0,601493595.0,35012762.0
entity00411385_udf_CF_20203391243350_AdjustmentsForReconcileProfitLoss,단기매매금융자산처분손실,Losses on disposals of held for trading financial assets,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,단기매매금융자산처분손실,39624566.0,162141069.0,38452168.0
dart_AdjustmentsForLossesOnEvaluationOfFairValueFinancialAssets,당기손익-공정가치측정금융자산평가손실,Adjustments for losses on evaluation of fair value financial assets,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,당기손익-공정가치측정금융자산평가손실,792266072.0,2194971333.0,0.0
entity00411385_udf_CF_2020339104412_AdjustmentsForReconcileProfitLoss,당기손익-공정가치측정금융자산처분손실,Adjustments for losses on disposals of fair value financial assets,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,당기손익-공정가치측정금융자산처분손실,131510707.0,0.0,0.0
entity00411385_udf_CF_2020339110334_AdjustmentsForReconcileProfitLoss,당기손익인식금융자산처분손실,Losses on disposals of fair value financial asset,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,당기손익인식금융자산처분손실,0.0,0.0,108653465.0
entity00411385_udf_CF_20203391114948_AdjustmentsForReconcileProfitLoss,기타포괄손익-공정가치측정금융자산처분손실,Adjustments for losses on disposals of fair value through other comprehensive income,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,기타포괄손익-공정가치측정금융자산처분손실,0.0,442584869.0,0.0
entity00411385_udf_CF_20203391128519_AdjustmentsForReconcileProfitLoss,매도가능금융자산처분손실,Losses on disposals of available for sale financial assets,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,매도가능금융자산처분손실,0.0,0.0,911900691.0
dart_AdjustmentsForLossesOnDisposalsOfIntangibleAssets,무형자산처분손실,Adjustments for losses on disposals of intangible assets,현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,무형자산처분손실,3000.0,0.0,0.0
