"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,6610870335.0,-8476076492.0,312032703.0
dart_ProfitLossForStatementOfCashFlows,당기순이익(손실),Profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익(손실),14176254119.0,31042534971.0,18870684231.0
ifrs-full_AdjustmentsForReconcileProfitLoss,비현금항목의 조정,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,비현금항목의 조정,12232285788.0,20024052034.0,21618108466.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,순운전자본의 변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,순운전자본의 변동,-7382019085.0,-47538504626.0,-30936886877.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취,1113045580.0,970307308.0,541363407.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급,Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급,1805324728.0,1633845392.0,1060567330.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취,Dividends received,현금흐름표 [abstract],영업활동현금흐름,배당금수취,28354500.0,23683600.0,19903000.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),11751725839.0,11364304387.0,8740572194.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,8629751139.0,-3422408540.0,-24547604822.0
dart_ProceedsFromSalesOfShortTermLoansAndReceivables,매출채권및기타채권의 감소,Proceeds from sales of short-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,매출채권및기타채권의 감소,0.0,42100000.0,168300000.0
dart_ProceedsFromSalesOfOtherCurrentFinancialAssets,기타금융자산의 감소,Proceeds from sales of other current financial assets,현금흐름표 [abstract],투자활동현금흐름,기타금융자산의 감소,126869166435.0,94739700770.0,7176046856.0
dart_DecreaseInGuaranteeDeposits,보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,보증금의 감소,3058389450.0,1032088048.0,596444805.0
dart_ProceedsFromSalesOfOtherNonCurrentFinancialAssets,기타장기금융자산의 처분,Proceeds from sales of other non-current financial assets,현금흐름표 [abstract],투자활동현금흐름,기타장기금융자산의 처분,54803771.0,173368289.0,0.0
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,90160702.0,38618341.0,84916121.0
