"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,4156833095.0,2044330262.0,-675508559.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업으로부터 창출된 현금,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업으로부터 창출된 현금,4348376220.0,2174460937.0,-499131142.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취(영업),Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취(영업),192478182.0,104451988.0,184159845.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급(영업),267667205.0,287469499.0,387845617.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취(영업),Dividends received,현금흐름표 [abstract],영업활동현금흐름,배당금수취(영업),25000000.0,25000000.0,25000000.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),141354102.0,-27886836.0,-2308355.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-2370759535.0,-1420368790.0,823993988.0
dart_ProceedsFromSalesOfFinancialInstruments,금융상품의 처분,Proceeds from sales of financial instruments,현금흐름표 [abstract],투자활동현금흐름,금융상품의 처분,1874530536.0,1480000000.0,1720000000.0
dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익인식금융자산의 처분,Proceeds from sales of fair value financial asset,현금흐름표 [abstract],투자활동현금흐름,당기손익인식금융자산의 처분,0.0,0.0,1999227992.0
entity00231831_udf_CF_2018811235531612_CashFlowsFromUsedInInvestingActivities,유동성 당기손익-공정가치금융자산의 감소,Liquidity profit or loss - Fair value Decrease in financial assets,현금흐름표 [abstract],투자활동현금흐름,유동성 당기손익-공정가치금융자산의 감소,120800646.0,1299605470.0,0.0
dart_ProceedsFromSalesOfLoansAndReceivables,대여금및수취채권의 처분,Proceeds from sales of loans and receivables,현금흐름표 [abstract],투자활동현금흐름,대여금및수취채권의 처분,610956678.0,2007800000.0,874349375.0
