"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,-2311185098.0,1376341816.0,-715519371.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로부터 창출된 현금흐름,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업활동으로부터 창출된 현금흐름,-2256759709.0,720890833.0,-81390152.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취(영업),Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취(영업),377845052.0,1026194920.0,164507006.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급(영업),414865674.0,275702378.0,795460833.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취(영업),Dividends received,현금흐름표 [abstract],영업활동현금흐름,배당금수취(영업),,,55000.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),17404767.0,95041559.0,3230392.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-16080942910.0,-36485037421.0,-454986180.0
entity00530413_udf_CF_201932292137886_CashFlowsFromUsedInInvestingActivities,단기금융상품의 감소,"
Decrease in short-term financial instruments",현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 감소,,100000000.0,12000000.0
dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,당기손익-공정가치측정 금융자산의 처분,Proceeds from sales of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치측정 금융자산의 처분,23543102496.0,10383521019.0,13330487714.0
entity00530413_udf_CF_20193229224324_CashFlowsFromUsedInInvestingActivities,관계기업투자주식의 처분,"
Disposal of investments in associates",현금흐름표 [abstract],투자활동현금흐름,관계기업투자주식의 처분,30000000000.0,,7846067020.0
entity00530413_udf_CF_2019322923789_CashFlowsFromUsedInInvestingActivities,공동기업투자주식의 처분,Disposition of joint-venture investment shares,현금흐름표 [abstract],투자활동현금흐름,공동기업투자주식의 처분,,,1000000000.0
entity00530413_udf_CF_201932292341272_CashFlowsFromUsedInInvestingActivities,지분취득관련 선급금의 회수,Repayment of advance payment related to equity acquisition,현금흐름표 [abstract],투자활동현금흐름,지분취득관련 선급금의 회수,,,19050000000.0
entity00530413_udf_CF_2018111395326640_CashFlowsFromUsedInInvestingActivities,종속기업의 처분,Disposal of subsidiary,현금흐름표 [abstract],투자활동현금흐름,종속기업의 처분,,3839916420.0,1850000000.0
dart_DecreaseInLoans,대여금의 감소,Decrease in loans,현금흐름표 [abstract],투자활동현금흐름,대여금의 감소,3456673400.0,17284670.0,2178914640.0
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,4967157515.0,12000000.0,676005634.0
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 처분,54116676.0,,239909091.0
entity00530413_udf_CF_201881316857519_CashFlowsFromUsedInInvestingActivities,파생상품자산의 처분,Disposition of Derivative Assets,현금흐름표 [abstract],투자활동현금흐름,파생상품자산의 처분,,30000000.0,
dart_DecreaseInGuaranteeDeposits,보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,보증금의 감소,213290000.0,1152472520.0,741883480.0
entity00530413_udf_CF_2020319165434290_CashFlowsFromUsedInInvestingActivities,사업결합으로 인한 순현금흐름,Net cash flow from business combinations,현금흐름표 [abstract],투자활동현금흐름,사업결합으로 인한 순현금흐름,1620000000.0,,
dart_PurchaseOfCurrentAvailableForSaleFinancialAssets,유동매도가능금융자산의 취득,Purchase of current available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,유동매도가능금융자산의 취득,58529736196.0,24556825440.0,18220202989.0
dart_PurchaseOfInvestmentsInAssociates,관계기업투자주식의 취득,Purchase of investments in associates,현금흐름표 [abstract],투자활동현금흐름,관계기업투자주식의 취득,5500000000.0,20200002286.0,15979869905.0
entity00530413_udf_CF_201932294844369_CashFlowsFromUsedInInvestingActivities,공동기업투자주식의 취득,Acquisition of joint venture investment shares,현금흐름표 [abstract],투자활동현금흐름,공동기업투자주식의 취득,,,
entity00530413_udf_CF_201887144643254_CashFlowsFromUsedInInvestingActivities,지분취득관련선급금의 증가,Increase in advances related to equity acquisition,현금흐름표 [abstract],투자활동현금흐름,지분취득관련선급금의 증가,,,5250000000.0
entity00530413_udf_CF_201932293239673_CashFlowsFromUsedInInvestingActivities,파생상품자산의 증가,Increase in derivative assets,현금흐름표 [abstract],투자활동현금흐름,파생상품자산의 증가,,,554553800.0
entity00530413_udf_CF_2018116111038791_CashFlowsFromUsedInInvestingActivities,기타투자자산의 취득,Acquisition of other investment assets,현금흐름표 [abstract],투자활동현금흐름,기타투자자산의 취득,,,
dart_IncreaseInLoans,단기대여금의 증가,Increase in loans,현금흐름표 [abstract],투자활동현금흐름,단기대여금의 증가,6424090883.0,2305720628.0,2268300000.0
dart_PurchaseOfLongTermLoansAndReceivables,장기대여금의 증가,Purchase of long-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,장기대여금의 증가,1669176002.0,,30000000.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,288748290.0,4627873696.0,1520056363.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,75664500.0,226316000.0,518874451.0
dart_IncreaseInGuaranteeDeposits,보증금의 증가,Increase in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,보증금의 증가,1154793758.0,93494000.0,2052449482.0
entity00530413_udf_CF_20193229363973_CashFlowsFromUsedInInvestingActivities,연결범위변동으로 인한 현금유출,Cash outflows due to changes in the scope of consolidation,현금흐름표 [abstract],투자활동현금흐름,연결범위변동으로 인한 현금유출,,,979556225.0
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 취득,44000000.0,10000000.0,5000000.0
entity00530413_udf_CF_2020319181259660_CashFlowsFromUsedInInvestingActivities,장기금융상품의 증가,Increase in long-term financial products,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 증가,,,1390544.0
entity00530413_udf_CF_2020320101152257_CashFlowsFromUsedInInvestingActivities,사업결합에 따른 순현금흐름,Net cash flow,현금흐름표 [abstract],투자활동현금흐름,사업결합에 따른 순현금흐름,6249073368.0,,
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,6610499683.0,39970674210.0,3657598960.0
