,0
계약금액,428
낙찰업체,422
원,417
계약명,410
계약기관,199
계약,157
주,153
주식회사,106
강원,102
계약방법,101
동해시,95
수의계약,95
발주처,85
년,71
수요기관,65
유,55
공사,43
동해,39
정비공사,36
외,27
강원도동해교육지원청,25
설치,25
강원도교육청,25
개소,22
동해지방해양경찰청,20
설치공사,20
해양경찰청,20
교,19
보수공사,19
제한경쟁,17
화장실,15
자윤건업,15
층,14
방식,14
주차장,13
호,13
보수,13
등,12
대표,12
동해건설,12
삼척동해태백산림조합,11
지구,11
동,11
대표이사,11
교체,11
리,11
저,11
교체공사,11
것,10
삼척,10
조달청,10
태형건업,10
한국건업,9
태풍,9
미탁,9
한국수산자원공단동해본부,9
합,8
담안건업,8
축,8
공구,8
재해복구사업,8
배수,8
주변,8
일원,7
동해바다숲,7
전기공사,7
동부건업,7
리모델링,7
용역,7
거옥건업,7
동해항,7
조성사업,7
낙찰가격,7
수,6
승강기,6
포항해양경찰서,6
동해선,6
철거공사,6
조광건업주식회사,6
차,6
정준건업,6
신화건업,6
상하수도사업소,6
국방건업,6
시설물,6
신기건업,6
낙석산사태,6
유한회사,6
방수,6
동림건업,6
현진건업,6
만원,6
협신건업,6
급식실,5
동해중학교,5
동해묵호항,5
단가계약,5
운동장,5
휴게소,5
휀스,5
평성건업,5
기계설비공사,5
속초해양경찰서,5
노후,5
해양수산부,5
동양건업,5
현대건업,5
본관동,5
포항시,5
포항,5
시설공사,5
견적요청,5
청사,5
방충망,5
기,5
조성,5
신축,5
청림건업,5
으,5
개선공사,5
본관,5
견적,5
동해해양경찰,5
포상후보,4
전라북,4
리모델링공사,4
국,4
국가재정,4
합자,4
천장수선공사,4
포장공사,4
순창,4
도서관,4
태성건업,4
소규모,4
성실,4
해맞이길,4
익산,4
동해광희고등학교,4
환경개선공사,4
영동선,4
미륵사지,4
문서,4
환경개선,4
계단,4
대문어,4
대구지방조달청,4
옥상,4
연흥건업,4
시설,4
요청,4
경기,4
공중화장실,4
백산,4
내,4
학년,4
경상남,4
거,4
동해엔지니어링,4
납세,4
이리모현초,4
체결,4
철도건설,4
우진건업,3
경동건업주식회사,3
주식회사우원건업,3
낙찰,3
전라남,3
항만시설,3
제거공사,3
유지보수공사,3
남천유치원,3
배수관,3
동해기술단,3
인증종합건업,3
세정건업,3
창호,3
동해랑유치원,3
축조공사,3
종,3
이지건업,3
서진건업,3
전북지역본부,3
용배수,3
통합형,3
강원지방조달청,3
바닥,3
개동,3
구청사,3
동해건업,3
모범납세자,3
장흥,3
동해식품,3
차선도색,3
방파호안,3
대성건업,3
휴게실,3
강동동,3
화장실보수,3
동해안,3
동해초,3
유치원,3
건설공사,3
남해선,3
부대,3
효성건업,3
평생교육센터,3
삼척시,3
관내,3
도색공사,3
도장,3
진성건업,3
배관,3
건전,3
제작,3
외부,3
두경건업,3
소방시설,3
경상북,3
오수처리시설,3
섬하르방,3
옥포조라,3
도로정비공사,3
앞,3
한국농어촌공사,3
성인종합건설,3
원광여자중학교,3
대영건업,3
정선군,3
우주건업,3
국지,3
출입문,3
조형물,3
납세풍토,3
동해전기,3
소,3
보수보강공사,3
고성군,3
철거,3
남영건업,3
강당동,3
기성건업,3
태양건업,3
단계,3
울진해양경찰서,3
부스터펌프,2
공간테크,2
샷시부분,2
저장식,2
분기기개량,2
우성건업,2
건설폐기물,2
의창구,2
주식회사삼정건업,2
펌프,2
캐노피,2
체육부,2
삼영건업,2
송정동,2
거제시간,2
동해방지,2
동해지방해양수산청,2
해당화,2
취사장,2
남원국토관리사무소,2
대수선공사,2
전라북도익산교육지원청,2
식당증축,2
보강공사,2
태창건업,2
사고석,2
상지개발,2
추계유지관리사업,2
서울가원초등학교,2
경자구역해제,2
독서실,2
송정초,2
망상동,2
새샘건업,2
보호울타리,2
내쇼날건업,2
도색,2
상가,2
설치작업,2
이평영파,2
청계건업,2
재해취약,2
웅치,2
도장공사,2
지산,2
냉난방,2
화성시,2
준설공사,2
숙직실,2
병설유치원,2
부영건업주식회사,2
스포츠클럽활동실,2
조림사업,2
수리공사,2
