,0
주,8
계약명,4
서울,4
계약금액,4
원,4
낙찰업체,4
세일디앤아,3
유,3
주식회사,3
컴퓨터,2
호,2
층,2
청계천,2
종로구,2
강남구,2
기,2
전경희,1
세일종합기술공사,1
축조공사,1
이옥란,1
영등포구,1
뉴데일리경제,1
길,1
소규모급수시설,1
당산동,1
도시건설사업소,1
선릉,1
박희열,1
청사,1
일,1
베르제시계,1
차입,1
현진케미칼,1
첨단과,1
이비앤,1
지하,1
목적사업,1
위드디앤아,1
박인용,1
자금,1
경기,1
월,1
가곡면,1
상환,1
관정개발공사,1
서울종로구청계천,1
논현동,1
거림디앤아,1
이정웅,1
한강로,1
라프로익안락,1
인터넷,1
업무,1
컨설팅,1
씨엔케이코퍼레이션,1
탄천상,1
용역제공,1
완도항,1
성남시,1
관리자,1
자료,1
신우엘에스산업,1
김도진,1
광주디지털미디어시티,1
원효로,1
허고운,1
당좌거래정지,1
디앤아이정보통신,1
분당구,1
엔트무비,1
소프트웨어,1
정학마을,1
금융결제원,1
세일빌딩,1
경기파주시문산읍배머리길,1
풍곡리,1
대한티앤피,1
데스크,1
경남김해시진영읍본산,1
세일,1
정백철,1
상담,1
봉은사,1
엔터세일,1
지,1
광주광역시,1
선인상가,1
유선부두,1
대성디앤아,1
성도빌딩,1
동,1
선골,1
개,1
북구,1
박대근,1
동작구,1
회사,1
일시적,1
등,1
가락동,1
번길,1
부동산,1
외,1
