company,자본총계,자산총계,매입채무 및 기타유동채무,매출채권 및 기타유동채권,부채총계,유동부채,유동자산,재고자산,매출총이익,법인세비용차감전순이익(손실),당기순이익(손실)
금강제강,61279687814.0,194206670604.0,39110749325.0,49725295614.0,132926982790.0,113985044750.0,100969321003.0,37436698391.0,591907148.0,-13509435372.0,-11260872179.0
금강제강,72211501426.0,179481870466.0,41074511130.0,61178350458.0,107270369040.0,85302556870.0,99806911954.0,33343253080.0,13444476213.0,2073005833.0,1519307289.0
배명금속,95296464290.0,208619609146.0,26367131866.0,30166438816.0,113323144856.0,106984768096.0,120559651206.0,66618482419.0,8510337046.0,376240588.0,627781200.0
배명금속,77745475250.0,179399062436.0,18536080027.0,26118974181.0,101653587186.0,95049265962.0,94315952312.0,55218399050.0,7700935418.0,-5482424803.0,-5245282081.0
풍림산업,152837431616.0,1374255960342.0,516846395394.0,759265274862.0,1221418528726.0,752955724323.0,919718310569.0,30002292372.0,2072700894.0,-41366351473.0,-35852563764.0
풍림산업,185149189773.0,1188801152279.0,371141947782.0,658773549500.0,1003651962506.0,954388334556.0,771447482160.0,34818379461.0,29044164067.0,-91069640922.0,-74624076085.0
A,103947442628,1132357996798,74456343510,34697588427,580305925815,583841720909,196582916676,54028871026,7657761649,-30971740861,-24474292039
B,173074312432,397683574179,48766082315,555633260097,613466364644,739868646894,278850585207,37279465185,2776298526,-61192277709,-56378909676
C,126663996940,655153951400,508631177447,565223794708,338804258926,582832126476,164886226114,45045869478,5223150842,-26782249350,-8906592531
D,139458527953,216758579825,216832234348,462019081253,1053008999586,826874375265,531170159987,32266630851,20447137817,-54426612781,-70740113729
E,135729046838,874524796335,74323134533,233685503389,213171458740,931789012561,505746436927,30720402305,14829812523,-29013568627,-10371513083
F,101993621809,1248840096313,115331690446,753677585710,953276330264,675358931753,715753568443,33478733948,18716910513,-49560380268,-25414492532
G,99430208121,388226201176,178321498999,635040632881,996072961830,647215248707,314227962226,47676156165,16704103890,-58634822691,-55876859216
H,145390278491,1154513952886,483573352587,188707365428,227871544650,519239816722,853042125436,33066221123,11492977345,-59166988492,-54228461290
I,88895411675,966742437337,263583703170,146763908108,633839953078,713413671408,203935737529,44601799842,19964936489,-61560009827,-73962722667
J,131603943920,897632866133,110804020450,303638325088,881115405965,670169129808,568014292966,37820297942,26143358662,-343016891,-51796236036
K,120312137485,559128991251,382507285451,567674349010,711383476737,209648935821,260415031210,37297546823,16292000706,-82805747681,-8016559659
L,98235440892,208939195272,166450019108,583086588295,1115536504086,236576521135,250276065021,60953620578,18454335087,-48771466043,-5149681784
M,130226431276,185118226399,142204941019,738138790606,758969675105,822595768703,156634562085,60618020055,20072623911,-52853153183,-51999081670
N,102969391866,1100152082022,39368803438,143627495528,1054440188605,535505973171,744870165046,39115645938,609729859,-10671641062,-62442696225
O,84977439181,1044603062497,279789425206,553527965491,490575215065,934598514945,565044989324,52855821530,19210024884,-67867310848,-5364903943
P,137832677921,450515435097,143155481618,147626134584,910150886350,837786376165,886067778429,30491501472,12221090193,-13173662630,-40090959879
Q,69090121706,798803218678,516209377415,292231033949,548102290225,229055357168,147244678659,30902391757,21097125948,-7835893777,-37610492836
R,162850255990,1234617241752,50395980499,684725591518,647406157442,665484583184,233115799710,49375793994,26719822673,-57844726888,-14127322185
S,100666127683,222677154668,29971515609,315781502079,1058399814125,311415202911,248251046967,36788432285,20527918999,-9225729046,-40810673164
T,156416180219,1061712842982,236359158918,440388715729,884706266664,269170052396,792445407799,56281217261,10384651747,-37742559889,-48825073926
U,112016850331,1211768445198,447599839263,469345725666,292598237725,906984575869,203965582541,66199450495,12105462609,-68120169324,-57150683730
V,174882226763,941879565046,125933410744,705947755785,248312717320,551209634696,502746184536,30486534418,2401201748,-33336711335,-36141472267
W,135064065555,477244128487,279296048641,524553358320,389874595858,806280790448,376764088525,52772721794,10193446650,-38499644455,-42512505802
X,182888247792,965583517321,27915509382,150551071608,293398998953,537694779779,251529950366,35602126246,9082124639,-21110516224,-59130592960
Y,176126943154,240589806407,259356736367,571527809017,654298621757,891815947060,360782159012,52382004141,21439343546,-34730434861,-1234638618
Z,174589486593,713158924691,201785416299,501932568227,270636337763,871055367785,806499866288,35973877888,28867519351,-57182466997,-72287128701
