,0
일,29
등,25
애민의료재단,21
의료법,20
애민,18
하동군,17
수,17
애민정신,15
것,15
하동읍,14
새하동병원,13
병원,13
년,12
정신,11
의료,11
이사장,11
하동병원,10
명,10
이천형,10
비롯,9
월,9
이날,8
경남,8
화심리,8
회장,8
행사,8
신축,7
오후,6
운영,6
기공식,6
개원식,6
의장,6
뒤편,6
군의회,5
자료,5
도의원,5
세종대왕,5
그,5
시민,5
윤상기,5
지원,5
복지,4
내,4
보건복지부,4
발표,4
한약진흥재단,4
공사,4
지상,4
층,4
복지재단,4
삼육재단,4
한방의료이용,4
우리,4
이웃,4
남양주시,4
정조,4
규모,4
의사,4
병원광장,4
구축,4
향약집성방,4
한양소비실태조사,4
주거,4
현장,4
교육,3
자동차세,3
양성,3
감사패,3
산수화,3
진행,3
복지생활지도,3
개원,3
통합돌봄,3
제공,3
의료기관,3
약자,3
병원장,3
기,3
국내,3
백성,3
청소년,3
설립,3
이미지,3
재범,3
예전,3
박혜숙씨,3
경찰서장,3
납부기한,3
집필,3
정석모,3
시간,3
사회적,3
올해,3
복지천사,3
사람,3
북한,3
병동,3
노인,3
수원,3
이정훈,3
정기분,3
지역사회,3
선정,3
온고지신,3
의료비,3
휴업,3
정약용,3
중국,3
기탁,3
재산세,3
문화,3
광장,2
실천,2
상주시,2
전라남도향교재단,2
의사회,2
개인부문,2
만원,2
목민심,2
루즈벨트,2
정의근,2
실용,2
강조,2
이시돌,2
후,2
사업비,2
추구,2
선물,2
억,2
외,2
청소년재단,2
수원화성,2
한글,2
기획사업,2
응급의료,2
미국,2
성균관유도회,2
한국암연구재단,2
김정,2
한국,2
복지관,2
생계,2
코,2
전체면적,2
지역특화사업,2
사설,2
여민동락,2
사업,2
한글날,2
복지욕구,2
애민정책,2
박사,2
군산제일고,2
공동체,2
회원들,2
전환,2
지난해,2
이전,2
조안면,2
계획,2
수행,2
목사,2
의대,2
금융,2
오늘,2
출생,2
가구,2
미래,2
이영주,2
공동,2
대표이사,2
자세,2
전개,2
집무실,2
책,2
기존,2
자랑,2
의료법인애민의료재단,2
애민사상,2
클러스터,2
생각,2
전해달라,2
장소,2
한편,2
녹십자,2
캠프,2
일자리,2
이갑재,2
지역,2
박래헌,2
납부한,2
임치구,2
진료체계,2
토대,2
상품화,2
결의대회,2
만,2
상호교류,2
봉사단체,2
터,2
생계비,2
결과,2
시,2
보령암학술상,2
치박시,2
경상북도향교재단,2
워싱턴,2
영향,2
성실,2
중,2
뿐,2
연계해,2
출범,2
전라남도전교협의회,2
진로진학,2
중증장애인,2
수원문화재단,2
위원장,2
하동,2
지난달,2
의료시설,2
계승,2
전국,2
거동불편,2
법인부문,2
다사로운,2
효심,2
중심,2
원,2
경상북도전교협의회,2
충남복지재단,2
재단,2
여군,1
어린이재단,1
선물비,1
관광,1
궁중비법,1
유시민,1
심오한,1
정윤근,1
팔달,1
봉사활동,1
납세,1
군의소,1
결정,1
지도자,1
백신주권,1
주변,1
지도,1
주제,1
복지제도,1
활용,1
마을,1
대중소기업농어업협력재단,1
수여식,1
이사직,1
고문,1
이광희,1
포함,1
구석구석,1
주년,1
세계화,1
최정곤,1
양,1
시상식,1
체류형,1
배치,1
한마음,1
개최,1
웰러스,1
세계문화유산,1
상여금포함주식회사새론기업,1
위,1
준공,1
인재양성,1
원년,1
의료비지원,1
무등산,1
동구,1
무엇,1
새에덴교회,1
장려,1
문학,1
플랫폼,1
연면적,1
뿌리,1
건강강좌,1
산하,1
공통점,1
애민보육원,1
각급,1
며,1
생명,1
정병기,1
공채,1
우리나라,1
등지,1
주력,1
입각,1
대동해,1
봉사정신,1
접촉,1
졸업,1
약속,1
북한인권법,1
우수장학생,1
치,1
변호사,1
북,1
장학금,1
생명나눔,1
명예회장,1
기념,1
광도,1
가운데,1
자생,1
중차대,1
권영진,1
권,1
남정,1
선언,1
현대,1
감염자,1
채용회사명,1
망라,1
부각,1
사회복지,1
핵심적,1
한계,1
농업기술실용화재단,1
협력,1
관계자,1
충청남,1
지역문화교류재단,1
현재,1
스마트팜,1
의식,1
박원훈,1
마련,1
실질적,1
우수한,1
산업기술연구회,1
활동,1
공동화,1
장안,1
경제,1
이번,1
공익,1
각,1
애국애민,1
권성원,1
처형,1
교통,1
이후,1
도민,1
류백현,1
경북과학대학교,1
이상근,1
정책,1
평양종합병원,1
치과진료권,1
공개,1
실사구시,1
광역도시,1
학술활동,1
자격,1
수원지역,1
군산영명학교,1
경기도,1
피해자,1
병,1
첫,1
집수리,1
방침,1
여행상품,1
전신,1
충분,1
열악,1
경기성남시분당구동판교,1
저,1
공공부문,1
달,1
한방음료,1
김신곤,1
정규직,1
의료법인애민의료재단하동군,1
생활,1
역사의식,1
시민통합,1
사례,1
채용공고명,1
북한인권기록보존소,1
초록우산,1
실정,1
노조,1
여자치과의사회,1
사진제공,1
체감할,1
성과,1
당,1
의료봉사활동,1
이상,1
경험,1
실시간,1
온라인,1
한뜻,1
어학수강권,1
진정한,1
원장,1
이뻐지차,1
줄,1
전문병원,1
농촌산업,1
긴급복지,1
하동지사,1
파문,1
소외,1
학년,1
지,1
지원자격,1
뉴스프리존,1
사회복지사,1
물리치료사,1
설립자,1
유아교육제,1
도민들,1
하동군민에,1
충남도민,1
모교,1
명당,1
헌혈운동,1
다산,1
자연환경,1
명저,1
사실상,1
시작,1
건립,1
행복,1
관광지,1
숙소,1
교장,1
상,1
재단법,1
관심,1
창립직원,1
구도심권,1
노동신문,1
합회장,1
일원,1
개혁사상,1
집대성,1
양승조,1
지역공동체,1
위안부,1
삶,1
석곡선생,1
운영위원장,1
경력,1
단위,1
확,1
리설주까지,1
구청장,1
방류,1
케어,1
광주시,1
창제,1
부분,1
경제적,1
근간,1
천효운,1
하나,1
목장부지,1
친절,1
중국인,1
북한은,1
의료계,1
조성,1
임금,1
정찬영,1
장길자,1
부지,1
하동군청,1
계획하,1
최선,1
근현대한의학,1
한반도선진화재단,1
인력,1
소강석,1
길의료재단,1
농사,1
예비후보,1
최,1
환경,1
대구달서구성서공단,1
복지비전,1
통일보건의료학회,1
개발협회,1
박정자,1
아시아문화전당,1
복지시각지대,1
현안,1
일일,1
내년,1
기관,1
대담,1
특강했다,1
박재철,1
인프라,1
명예이사장,1
휴업계,1
영통,1
종합의료서비스,1
백성들,1
전문위원,1
군민들,1
일반마스크,1
효,1
인권침해,1
이것,1
동중한합회,1
어려움,1
위민,1
석곡서당,1
관,1
월급,1
문의,1
단체장,1
박애정신,1
한목소,1
정명숙,1
저수득,1
통신과,1
인재육성장학생,1
서울중랑구면목,1
의료환경,1
무상,1
전성관,1
명규환,1
하동병원은,1
방문해,1
활성화,1
계림초교,1
전북대,1
부회장,1
유치,1
사상,1
신속,1
지게차,1
크리스마스,1
지산유원지,1
표시,1
의료진,1
소중한,1
말,1
유한재단,1
뜻,1
조대,1
예술인,1
의료관광,1
생계급여,1
최현구,1
비중,1
확대,1
행정,1
대공포,1
시점,1
경기,1
한민족평화나눔재단,1
약리,1
전,1
해소,1
위러브유,1
수상자,1
개설,1
참여적,1
다솜의료재단,1
춘천,1
도내,1
취약,1
저술,1
연혁,1
초대졸자세히,1
사업체소재지전화번호모집직종모집요건모집인원,1
농업정보,1
문화유산회복재단이사장,1
도시,1
고용,1
상징적,1
속,1
관내,1
온화,1
약초,1
비뇨의학,1
여의,1
보훈지원,1
반포일,1
대구의료원,1
성군,1
현상,1
부인,1
건강검진권,1
모집,1
강원농협,1
근무지,1
담당,1
국정,1
과시,1
군더더기,1
이사,1
복지모델,1
애국,1
으,1
지방자치경영대전,1
남북보건의료교육재단,1
노원문화재단,1
식당,1
연극인,1
획기적인,1
가천길재단,1
약,1
재정한계,1
장성택,1
선발,1
국민건강보험공단,1
독보적,1
소수,1
박연철,1
실시,1
태부족해,1
국제위러브유운동본부,1
대학병원,1
초청,1
동네,1
입국,1
자신,1
서구의료재단,1
참배,1
체계,1
다음,1
개발,1
표현,1
지역주민들,1
우려,1
대표,1
상황,1
분,1
경남하동군하동읍군청,1
담당업무,1
두,1
생동,1
도서벽지,1
전립선,1
통영시,1
취임식,1
공공기관,1
시골,1
의료진들,1
천혜,1
부대,1
천문,1
마을공동체,1
희망소원,1
무료진료,1
요양병원,1
화성,1
밀접,1
간호사간호사,1
남북하나재단,1
해안포부대,1
명절,1
청파의료재단이사장,1
청소년수련관,1
수집,1
역사적,1
축,1
박노섭,1
순회,1
농민들,1
의료인,1
진주시의회,1
예,1
남한은,1
사건,1
살레시오여중,1
바다이야기,1
대구구은행,1
노동조합,1
경제성,1
입,1
다양한,1
평가,1
대전대덕구우암,1
연차무관,1
개월,1
때문,1
발굴,1
삽,1
의료급여,1
기본적,1
농협문화복지재단,1
콘텐츠,1
체제,1
혜택,1
경영난,1
해정의료재단,1
땅,1
의원장,1
수원시,1
종양학,1
설치,1
화,1
최규식,1
하계캠프,1
조선글날,1
이인원,1
동자개,1
정치,1
충남형,1
대구은행,1
품종,1
납부,1
오,1
북한인권재단,1
지역특성,1
진주고,1
대구시장,1
치료,1
농촌월급제,1
청년통장,1
노무현재,1
개인,1
김석수,1
한국전립선관리협회,1
뉴스핌,1
수학,1
존재,1
가정,1
혁신도시,1
제출,1
정리,1
쌀,1
북녘,1
지방이전,1
본부장,1
관광콘텐츠,1
소,1
졸업생들,1
최관호,1
처우개선,1
법적보호,1
지역농협,1
복싱협회,1
주민,1
완벽,1
달라,1
상상하기,1
시절,1
중장기계획,1
타격,1
계승한,1
법인,1
고용형태,1
역사,1
본사,1
하동군보건소,1
전달,1
정부,1
그동안,1
시대,1
