"[D220000] Statement of financial position, order of liquidity - Consolidated financial statements (Unit: KRW)","[D220000] Statement of financial position, order of liquidity - Consolidated financial statements (Unit: KRW)","[D220000] Statement of financial position, order of liquidity - Consolidated financial statements (Unit: KRW)","[D220000] Statement of financial position, order of liquidity - Consolidated financial statements (Unit: KRW)","[D220000] Statement of financial position, order of liquidity - Consolidated financial statements (Unit: KRW)","[D220000] Statement of financial position, order of liquidity - Consolidated financial statements (Unit: KRW)",20160630,20151231,20141231,20131231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],현금및현금성자산,1873070192.0,5815263717.0,3589220796.0,1165303369.0
ifrs_OtherFinancialAssets,단기금융상품,Other financial assets,재무상태표 [abstract],자산 [abstract],단기금융상품,18615655695.0,6276609215.0,2914222887.0,2781473542.0
ifrs_TradeAndOtherReceivables,매출채권 및 기타채권,Trade and other receivables,재무상태표 [abstract],자산 [abstract],매출채권 및 기타채권,6420330957.0,5935747431.0,6898258930.0,6112434850.0
ifrs_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],당기법인세자산,40226214.0,112943974.0,2268910.0,19433707.0
ifrs_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],재고자산,,9724134.0,11645916.0,48193443.0
entity00122339_udf_BS_201332115352562_AssetsAbstract,기타유동자산,NEWAccount for Assets (1),재무상태표 [abstract],자산 [abstract],기타유동자산,3238331276.0,10001489690.0,10500088535.0,3609013595.0
entity00122339_udf_BS_2013321153522406_AssetsAbstract,장기매출채권 및 기타채권,NEWAccount for Assets (2),재무상태표 [abstract],자산 [abstract],장기매출채권 및 기타채권,812741356.0,6145076620.0,2523099332.0,2109139673.0
entity00122339_udf_BS_2014325112015353_AssetsAbstract,장기금융자산,NEWAccount for Assets (3),재무상태표 [abstract],자산 [abstract],장기금융자산,2585698341.0,117448551.0,124088116.0,34421165.0
