"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,19950796544.0,45977706175.0,30911009090.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,3119146872.0,4446577675.0,8958904673.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,,200000000.0,200000000.0
dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,2910639927.0,5484923701.0,4770692380.0
entity00112819_udf_BS_2019328124529689_CurrentAssets,기타채권,other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타채권,877302353.0,9332703819.0,2395547098.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,12744902343.0,13063585496.0,13969418628.0
ifrs-full_CurrentContractAssets,유동계약자산,Current contract assets,재무상태표 [abstract],자산 [abstract],유동자산,유동계약자산,19512991.0,21932232.0,
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치 측정 금융자산,"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,당기손익-공정가치 측정 금융자산,,746339610.0,
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,279292058.0,3772511667.0,616446311.0
entity00112819_udf_BS_2019813124613122_CurrentAssets,매각예정비유동자산,Noncurrent Assets for Sale,재무상태표 [abstract],자산 [abstract],유동자산,매각예정비유동자산,,8909131975.0,
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,8800750299.0,20556595332.0,25128756949.0
dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,2500000.0,4500000.0,4500000.0
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기기타채권,1100514374.0,6844832249.0,6780317571.0
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치 측정 금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치 측정 금융자산,250000000.0,250285000.0,7472653399.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,1024127378.0,1560787795.0,1601017973.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,3840368870.0,7759714900.0,8092934797.0
ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,93060000.0,393815027.0,393815027.0
ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,2490179677.0,,
entity00112819_udf_BS_20171110233551643_NoncurrentAssets,공동기업투자,Corporate investment,재무상태표 [abstract],자산 [abstract],비유동자산,공동기업투자,,2416883570.0,107011284.0
dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,,1325776791.0,676506898.0
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,28751546843.0,66534301507.0,56039766039.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,22850840445.0,35282846484.0,26333632989.0
ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,920000000.0,700000000.0,
dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,3448411766.0,3867048061.0,3855270233.0
ifrs-full_TradeAndOtherCurrentPayables,기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,기타채무,3564226925.0,3917156054.0,10685769514.0
dart_CurentPortionOfFinanceLeaseLiabilities,유동성리스부채,Curent portion of lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성리스부채,1056663999.0,,
ifrs-full_CurrentContractLiabilities,계약부채,Current contract liabilities,재무상태표 [abstract],부채 [abstract],유동부채,계약부채,57333469.0,316146562.0,
dart_CurrentPortionOfConvertibleBonds,전환사채,Current portion of convertible bonds,재무상태표 [abstract],부채 [abstract],유동부채,전환사채,11285045378.0,20911834100.0,11314372697.0
dart_CurrentDerivativeLiabilities,파생상품부채,Current derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,파생상품부채,2422859096.0,4704922996.0,
