"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,,11674020634.0,25225371793.0,110699264112.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,,7795627742.0,9429150436.0,17292849720.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,Due from Finantial Institutions,재무상태표 [abstract],자산 [abstract],유동자산,금융기관예치금,,,192509215.0,985804880.0
ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,,1679606755.0,11554061187.0,77224492206.0
entity00599887_udf_BS_20171113915240_CurrentAssets,선급금,Advance payments,재무상태표 [abstract],자산 [abstract],유동자산,선급금,,64573905.0,242046948.0,1409207188.0
entity00599887_udf_BS_2017111391541616_CurrentAssets,선급비용,Prepaid expenses,재무상태표 [abstract],자산 [abstract],유동자산,선급비용,,10828195.0,149364852.0,530174113.0
entity00599887_udf_BS_2017111391320612_CurrentAssets,파생금융상품,Derivatives transaction,재무상태표 [abstract],자산 [abstract],유동자산,파생금융상품,,,,135041613.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,,2041410600.0,3259101620.0,9751711164.0
ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,,27010610.0,12818830.0,13038385.0
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,,,350000000.0,
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,,54962827.0,36318705.0,3356944843.0
entity00599887_udf_BS_202032610647859_AssetsAbstract,매각예정비유동자산,trade and Non-current assets,재무상태표 [abstract],자산 [abstract],매각예정비유동자산,,,15550000000.0,,
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,,24249323723.0,79489112756.0,95063182676.0
dart_LongTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,금융기관예치금,,,41274651.0,2390547113.0
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매도가능금융자산,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,매도가능금융자산,,49526100.0,6064269232.0,6452187300.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,,,,64572774482.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,영업권 이외의 무형자산,,,,3922967614.0
ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,,24143293956.0,59153235544.0,13037464339.0
entity00599887_udf_BS_2017111391945484_NoncurrentAssets,보증금,Deposits Provided,재무상태표 [abstract],자산 [abstract],비유동자산,보증금,,43177667.0,1094914312.0,441067279.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,,,12731928640.0,3348644511.0
