"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,52368989228.0,39946331983.0,34217725296.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,2418935707.0,362146106.0,878519230.0
ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,15578687057.0,19205973244.0,22124076490.0
entity00140061_udf_BS_201710248525559_CurrentAssets,기타수취채권,other receivables(1),재무상태표 [abstract],자산 [abstract],유동자산,기타수취채권,462477883.0,123517222.0,38468208.0
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,29000024346.0,14460189103.0,3082917557.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,137987664.0,178096156.0,112845793.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,4770876571.0,5616410152.0,7980898018.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,41949513543.0,43124699236.0,43211419024.0
entity00140061_udf_BS_20188893250167_NoncurrentAssets,기타장기수취채권,Long-term deposits not classified as cash equivalents(1),재무상태표 [abstract],자산 [abstract],비유동자산,기타장기수취채권,1004331600.0,467331600.0,616331600.0
ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,13000000.0,13000000.0,13000000.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,23190723478.0,23658073026.0,23077189317.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,영업권 이외의 무형자산,755271723.0,1423764587.0,965656425.0
ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,15415900684.0,15560494144.0,15724707140.0
entity00140061_udf_BS_201932511497324_NoncurrentAssets,이연법인세자산,NEWAccount for Changes in equity (22),재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,1570286058.0,2002035879.0,2814534542.0
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,94318502771.0,83071031219.0,77429144320.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,10545438922.0,11208232527.0,12933867852.0
ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,5363183227.0,6280975353.0,7320674206.0
dart_PaymentsOfIncomeTaxesPayable,기타지급채무,Payments of income taxes payable,재무상태표 [abstract],부채 [abstract],유동부채,기타지급채무,2919145212.0,2209537084.0,3070532536.0
ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,523059306.0,692193351.0,1262216340.0
ifrs-full_CurrentProvisions,유동충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,유동충당부채,381422287.0,485158483.0,649249150.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,395604784.0,136073474.0,383081453.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,963024106.0,1404294782.0,248114167.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,754678232.0,215489398.0,567800260.0
dart_OtherNonCurrentLiabilities,기타장기지급채무,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타장기지급채무,195476730.0,189476730.0,307476730.0
ifrs-full_NoncurrentProvisions,순확정급여부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,559201502.0,26012668.0,260323530.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,11300117154.0,11423721925.0,13501668112.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,83018052003.0,71646975680.0,63927142594.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,25897289500.0,25897289500.0,25897289500.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금,41692834744.0,41692834744.0,41692834744.0
dart_OtherCapitalAdjustments,기타자본조정,Other capital adjustments,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본조정,-5707868366.0,-5707868366.0,-5707868366.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,5126569859.0,5126569859.0,5126569859.0
ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),16009226266.0,4638149943.0,-3081683143.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,333614.0,333614.0,333614.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,83018385617.0,71647309294.0,63927476208.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,94318502771.0,83071031219.0,77429144320.0
