"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20111231,20101231,20091231,20081231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,919718310569.0,771447482160.0,875186217415.0,790214271450.0
ifrs_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,94846526926.0,39966982146.0,89130676370.0,19733252930.0
entity00155498_udf_BS_2012316143342885_CurrentAssets,단기금융상품,"Short-term financial Instruments, gross",재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,1458646000.0,1565847390.0,2358646000.0,5400000000.0
ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,759265274862.0,658773549500.0,713340312689.0,
entity00155498_udf_BS_2012316143538855_CurrentAssets,만기보유금융자산,Current financial assets held to maturity ,재무상태표 [abstract],자산 [abstract],유동자산,만기보유금융자산,942280000.0,729110000.0,1940756480.0,1226161757.0
ifrs_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,30002292372.0,34818379461.0,35314961520.0,44289402532.0
ifrs_OtherCurrentFinancialAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,33203290409.0,35593613663.0,33100864356.0,
ifrs_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,454537649773.0,417353670119.0,394279663752.0,397961849066.0
entity00155498_udf_BS_2012316144136147_NoncurrentAssets,매도가능금융자산,Non-current available-for-sale financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,매도가능금융자산,28153087914.0,26606725767.0,27774495130.0,
